Deputāts/e,Frakcija,Dzimums,Dzimšanas gads,Dzīvesvieta,Izglitība,Politiska partija,Mandāta statuss,Ievelēts/-a no saraksta,Darbība 13.Saeimā,E-pasta adrese
Andrejs Vilks,Zaļo un Zemnieku savienības frakcija,V,1954,Jēkabpils novads,Augstākā izglītība (Omskas augastākā milicijas skola 1976 jurists),,Pilntiesīgs mandāts,,https://titania.saeima.lv/personal/deputati/saeima14_depweb_public.nsf/0/595F72E57451EC05C22588E0002AE137?OpenDocument&lang=LV,Andrejs.Vilks@saeima.lv
Andris Bērziņš,Zaļo un Zemnieku savienības frakcija,V,1955,Mārupes novads,"Augstākā izglītība (Latvijas Universitāte 1979 Franču valodas un literatūras specialitāte, filologa, pasniedzēja un tulka kvalifikācija)",,Pilntiesīgs mandāts,,https://titania.saeima.lv/personal/deputati/saeima14_depweb_public.nsf/depArchive.html?ReadForm&unid=67C17E6FE20BCAA9C22588E0002AE1AC&url=./0/67C17E6FE20BCAA9C22588E0002AE1AC?OpenDocument&lang=LV,Andris.Berzins@saeima.lv
Andris Kulbergs,"Frakcija “APVIENOTAIS SARAKSTS – Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija”",V,1979,Rīga,Augstākā izglītība (Starptautiskā Konkordijas Universitāte 2002 Bakalaura grāds starptautiskajā biznesā),,Pilntiesīgs mandāts,,https://titania.saeima.lv/personal/deputati/saeima14_depweb_public.nsf/0/51CF0E6C1B20AF2EC22588E0002AE4CD?OpenDocument&lang=LV,Andris.Kulbergs@saeima.lv
Andris Šuvajevs,Frakcija PROGRESĪVIE,V,1991,Rīga,Augstākā izglītība (Glāzgovas universitāte 2015 Sociālo zinātņu bakalaura grāds socioloģijā (pabeigts ar izcilību); Oksfordas universitāte 2016 Sociālo zinātņu maģistra grāds sociālajā antropoloģijā),PROGRESĪVIE,Pilntiesīgs mandāts,,https://titania.saeima.lv/personal/deputati/saeima14_depweb_public.nsf/0/B865554A7F99FFE7C22588E0002AE401?OpenDocument&lang=LV,Andris.Suvajevs@saeima.lv
Anita Brakovska,Zaļo un Zemnieku savienības frakcija,S,1961,Preiļu novads,"Augstākā izglītība (Daugavpils Pedagoģijas institūts 1984 Bioloģijas, ķīmijas skolotājs)",,Pilntiesīgs mandāts,,https://titania.saeima.lv/personal/deputati/saeima14_depweb_public.nsf/0/6B32A07F60D2717EC22588E0002AE115?OpenDocument&lang=LV,Anita.Brakovska@saeima.lv
Anna Rancāne,Frakcija JAUNĀ VIENOTĪBA,S,1959,Rēzekne,Augstākā izglītība (Latvijas Valsts Universitāte 1982 inženieris ekonomists),"Jaunā VIENOTĪBA (Nacionālās VIENOTĪBAS apvienība; Partijas Jaunais laiks, partijas Pilsoniskā savienība un partijas Sabiedrība Citai Politikai apvienība; VIENOTĪBA)",Pilntiesīgs mandāts,,https://titania.saeima.lv/personal/deputati/saeima14_depweb_public.nsf/0/A5791F8E6A227453C22588E0002AE051?OpenDocument&lang=LV,Anna.Rancane@saeima.lv
Antoņina Ņenaševa,Frakcija PROGRESĪVIE,S,1988,Jūrmala,Augstākā izglītība (Baltijas Starptautiskā akadēmija 2011 Bakalaura grāds politoloģijā - Eiropas studijas; Londonas Ekonomikas un politikas zinātnes skola (LSE) 2015 Maģistra grāds sociālajā politikā),PROGRESĪVIE,Pilntiesīgs mandāts,,https://titania.saeima.lv/personal/deputati/saeima14_depweb_public.nsf/0/ED885BD3FAFA714FC22588E0002AE3FF?OpenDocument&lang=LV,Antonina.Nenaseva@saeima.lv
Artūrs Butāns,Frakcija “Nacionālā apvienība”,V,1992,Liepāja,Augstākā izglītība (Rīgas Tālmācības vidusskola 2012 Vispārējā vidējā izglītība; Sidnejas Biznesa koledža 2018 Biznesa vadība),"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Pilntiesīgs mandāts,,https://titania.saeima.lv/personal/deputati/saeima14_depweb_public.nsf/0/0193BC8860749C34C22588E0002AE234?OpenDocument&lang=LV,Arturs.Butans@saeima.lv
Atis Labucis,Frakcija JAUNĀ VIENOTĪBA,V,1986,Saulkrastu novads,Augstākā izglītība (Latvijas Universitāte 2011 Biologs),"Jaunā VIENOTĪBA (Nacionālās VIENOTĪBAS apvienība; Partijas Jaunais laiks, partijas Pilsoniskā savienība un partijas Sabiedrība Citai Politikai apvienība; VIENOTĪBA)",Apstiprināts uz laiku,,https://titania.saeima.lv/personal/deputati/saeima14_depweb_public.nsf/0/35CD41C73A1F5DC9C22588E0002AE0C3?OpenDocument&lang=LV,Atis.Labucis@saeima.lv
Atis Švinka,Frakcija PROGRESĪVIE,V,1973,Rīga,Augstākā izglītība (Latvijas Universitāte 2002 Sociālo zinātņu bakalaura grāds vadībzinātnē),,Pilntiesīgs mandāts,,https://titania.saeima.lv/personal/deputati/saeima14_depweb_public.nsf/0/DCD195F4ED104059C22588E0002AE477?OpenDocument&lang=LV,Atis.Svinka@saeima.lv
Augusts Brigmanis,Zaļo un Zemnieku savienības frakcija,V,1952,Tukuma novads,Augstākā izglītība (Latvijas Lauksaimniecības Akadēmija 1975 agronoms ekonomists),LATVIJAS ZEMNIEKU SAVIENĪBA (Centriskā partija Latvijas Zemnieku savienība),Pilntiesīgs mandāts,,https://titania.saeima.lv/personal/deputati/saeima14_depweb_public.nsf/depArchive.html?ReadForm&unid=795B2DB5FBAE49B7C22588E0002AE131&url=./0/795B2DB5FBAE49B7C22588E0002AE131?OpenDocument&lang=LV,Augusts.Brigmanis@saeima.lv
Česlavs Batņa,"Frakcija “APVIENOTAIS SARAKSTS – Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija”",V,1979,Ogres novads,Augstākā izglītība (Jāzepa Vītola Latvijas Mūzikas akadēmija 2003 Bakalaura grāds mūzikā. Diriģenta specialitāte; Jāzepa Vītola Latvijas Mūzikas akadēmija 2005 Maģistra grāds mūzikā. Diriģenta specialitāte; Rīgas pedagoģijas un izglītības vadības augstskola 2012 Maģistra grāds skolvadībā; Latvijas Biznesa koledža 2016 Jurista palīgs),,Pilntiesīgs mandāts,,https://titania.saeima.lv/personal/deputati/saeima14_depweb_public.nsf/0/63C73AD5F73AE5FDC22588E0002AE517?OpenDocument&lang=LV,Ceslavs.Batna@saeima.lv
Daiga Mieriņa,Zaļo un Zemnieku savienības frakcija,S,1969,Ādažu novads,Augstākā izglītība (Latvijas Lauksaimniecības Universitāte 1995 Lauksaimniecības zinātņu Bakalaura grādu; Rīgas Tehniskā Universitāte 2009 Profesionālo Maģistra grādu visaptverošajā kvalitātes vadībā),LATVIJAS ZEMNIEKU SAVIENĪBA (Centriskā partija Latvijas Zemnieku savienība),Pilntiesīgs mandāts,,https://titania.saeima.lv/personal/deputati/saeima14_depweb_public.nsf/0/4BF8C00E38238CE8C22588E0002AE177?OpenDocument&lang=LV,Daiga.Mierina@saeima.lv
Dāvis Mārtiņš Daugavietis,Frakcija JAUNĀ VIENOTĪBA,V,1996,Rīga,Augstākā izglītība (Rīgas Juridiskā augstskola 2018 Starptautiskās tiesības un diplomātija),,Pilntiesīgs mandāts,,https://titania.saeima.lv/personal/deputati/saeima14_depweb_public.nsf/0/B8D6C0AA11A28BFCC22588E0002AE075?OpenDocument&lang=LV,Davis.Martins.Daugavietis@saeima.lv
Didzis Šmits,"Frakcija “APVIENOTAIS SARAKSTS – Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija”",V,1975,Rīga,Augstākā izglītība (Rīgas Franču licejs 1993 Vispārējā; Latvijas Universitāte 1998 Politikas zinātnes bakalaura grāds starptautiskajās attiecībās; Parīzes 11. Universitāte 2000 Maģistra grāds starptautisko organizāciju diplomātijā),"Par Cilvēcīgu Latviju, Politiskā partija (KPV LV)",Pilntiesīgs mandāts,,https://titania.saeima.lv/personal/deputati/saeima14_depweb_public.nsf/depArchive.html?ReadForm&unid=51C17D69AC73A459C22588E0002AE4C7&url=./0/51C17D69AC73A459C22588E0002AE4C7?OpenDocument&lang=LV,Didzis.Smits@saeima.lv
Didzis Zemmers,Zaļo un Zemnieku savienības frakcija,V,1969,Limbažu novads,Augstākā izglītība (Latvijas Universitāte 2004 Amatu mācības un kultūras vēstures skolotāja kvalifikācija; Daugavpils Universitāte 2010 Sabiedrības pārvalde un iestāžu vadītājs),,Apstiprināts uz laiku,,https://titania.saeima.lv/personal/deputati/saeima14_depweb_public.nsf/depArchive.html?ReadForm&unid=7A2D78E3B22A6B1BC22588E0002AE182&url=./0/7A2D78E3B22A6B1BC22588E0002AE182?OpenDocument&lang=LV,Didzis.Zemmers@saeima.lv
Dmitrijs Kovaļenko,Frakcija “Stabilitātei!”,V,1978,Jelgava,Vidējā izglītība (Jelgavas 5. Vidusskola 1996 Vispārējā videjā),,Pilntiesīgs mandāts,,https://titania.saeima.lv/personal/deputati/saeima14_depweb_public.nsf/0/0F0920EE5AAAF1E1C22588E0002AE226?OpenDocument&lang=LV,Dmitrijs.Kovalenko@saeima.lv
Edgars Tavars,"Frakcija “APVIENOTAIS SARAKSTS – Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija”",V,1982,Rīga,"Augstākā izglītība (Rīgas Pedagoģijas un izglītības vadības akadēmija 2010 Bakalaura grāds ekonomikā, uzņēmumu un iestāžu vadītājs; Banku augstskola 2012 Maģistra grāds, Inovācijas ekonomikā)",,Pilntiesīgs mandāts,,https://titania.saeima.lv/personal/deputati/saeima14_depweb_public.nsf/depArchive.html?ReadForm&unid=29DC1F43D02712A2C22588E0002AE53C&url=./0/29DC1F43D02712A2C22588E0002AE53C?OpenDocument&lang=LV,Edgars.Tavars@saeima.lv
Edgars Zelderis,Frakcija PROGRESĪVIE,V,1983,Talsu novads,Augstākā izglītība (Talsu Valsts ģimnāzija 2002 Vidējā izglītība; Latvijas Universitāte 2007 Bakalaura grāds tiesību zinātnēs; Latvijas Universitāte 2009 Maģistra grāds un jurista kvalifikācija tiesību zinātnēs; Latvijas Universitāte 2022 Tiesības veikt pedagoģisko darbību tiesību zinātnē),Mēs - Talsiem un novadam,Pilntiesīgs mandāts,,https://titania.saeima.lv/personal/deputati/saeima14_depweb_public.nsf/0/C97ED36F8C6BA43EC22588E0002AE3C8?OpenDocument&lang=LV,Edgars.Zelderis@saeima.lv
Edmunds Cepurītis,Frakcija PROGRESĪVIE,V,1991,Rīga,Augstākā izglītība (Latvijas Universitāte 2016 Dabaszinātņu maģistra grāds vides zinātnē),PROGRESĪVIE,Pilntiesīgs mandāts,,https://titania.saeima.lv/personal/deputati/saeima14_depweb_public.nsf/0/4392115994088E59C22588E0002AE407?OpenDocument&lang=LV,Edmunds.Cepuritis@saeima.lv
Edmunds Jurēvics,Frakcija JAUNĀ VIENOTĪBA,V,1992,Rīga,Augstākā izglītība (Latvijas Universitāte 2020 Politikas zinātne (Publiskā politika un pārvalde)),"Jaunā VIENOTĪBA (Nacionālās VIENOTĪBAS apvienība; Partijas Jaunais laiks, partijas Pilsoniskā savienība un partijas Sabiedrība Citai Politikai apvienība; VIENOTĪBA)",Apstiprināts uz laiku,,https://titania.saeima.lv/personal/deputati/saeima14_depweb_public.nsf/0/E449F176D460098DC22588E0002AE0AA?OpenDocument&lang=LV,Edmunds.Jurevics@saeima.lv
Edmunds Teirumnieks,Frakcija “Nacionālā apvienība”,V,1977,Rēzekne,Augstākā izglītība (Rēzeknes Augstskola 2000 Vides aizsardzības inženieris – ekotehnologs; Rēzeknes Augstskola 2000 Bakalaurs vides zinātnēs; Latvijas Universitāte 2002 Dabas zinātņu maģistrs vides zinātnē; Rīgas Tehniskā universitāte 2003 Inženierzinātņu maģistrs ķīmijā; Rīgas Tehniskā universitāte 2007 Inženierzinātņu doktors ķīmijas inženierzinātnē),"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Pilntiesīgs mandāts,,https://titania.saeima.lv/personal/deputati/saeima14_depweb_public.nsf/depArchive.html?ReadForm&unid=D6094735DEC19141C22588E0002AE24F&url=./0/D6094735DEC19141C22588E0002AE24F?OpenDocument&lang=LV,Edmunds.Teirumnieks@saeima.lv
Edmunds Zivtiņš,Frakcija LATVIJA PIRMAJĀ VIETĀ,V,1969,Rīga,Augstākā izglītība (Latvijas Policijas akadēmija 2000 jurists; Latvijas Policijas akadēmija 2006 maģistra grāds tiesību zinātnēs),,Pilntiesīgs mandāts,,https://titania.saeima.lv/personal/deputati/saeima14_depweb_public.nsf/0/55EC0FEF3FCDAB72C22588E0002AE3AC?OpenDocument&lang=LV,Edmunds.Zivtins@saeima.lv
Edvards Smiltēns,"Frakcija “APVIENOTAIS SARAKSTS – Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija”",V,1984,Saulkrastu novads,"Augstākā izglītība (Rīgas Franču licejs 2003 Vispārējā; Latvijas Universitāte 2006 Sociālo zinātņu bakalaura grāds tiesību zinātnē; Latvijas Universitāte 2009 Profesionālais maģistra grāds tiesību zinātnē, jurista kvalifikācija)","Latvijas Reģionu Apvienība, Politiskā partija",Pilntiesīgs mandāts,,https://titania.saeima.lv/personal/deputati/saeima14_depweb_public.nsf/depArchive.html?ReadForm&unid=A8A9E87F3907B606C22588E0002AE509&url=./0/A8A9E87F3907B606C22588E0002AE509?OpenDocument&lang=LV,Edvards.Smiltens@saeima.lv
Edvīns Šnore,Frakcija “Nacionālā apvienība”,V,1974,Rīga,Augstākā izglītība (Latvijas Universitāte 2013 Vēstures doktors),"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Pilntiesīgs mandāts,,https://titania.saeima.lv/personal/deputati/saeima14_depweb_public.nsf/depArchive.html?ReadForm&unid=8100D64D46EABDD0C22588E0002AE2E4&url=./0/8100D64D46EABDD0C22588E0002AE2E4?OpenDocument&lang=LV,Edvins.Snore@saeima.lv
Ervins Labanovskis,Frakcija PROGRESĪVIE,V,1980,Smiltenes novads,Augstākā izglītība (Latvijas universitāte 2002 Bakalaura grāds politikas zinātnē; Latvijas universitāte 2005 Maģistra grāds komunikācijas zinātnē),,Apstiprināts uz laiku,,https://titania.saeima.lv/personal/deputati/saeima14_depweb_public.nsf/0/4D6DE08400D0AAFFC22588E0002AE447?OpenDocument&lang=LV,Ervins.Labanovskis@saeima.lv
Gatis Liepiņš,Frakcija JAUNĀ VIENOTĪBA,V,1989,Rīga,Augstākā izglītība (Latvijas Universitāte 2016 Humanitāro zinātņu maģistra grāds vēsturē),"Jaunā VIENOTĪBA (Nacionālās VIENOTĪBAS apvienība; Partijas Jaunais laiks, partijas Pilsoniskā savienība un partijas Sabiedrība Citai Politikai apvienība; VIENOTĪBA)",Apstiprināts uz laiku,,https://titania.saeima.lv/personal/deputati/saeima14_depweb_public.nsf/0/58887F105A9C071DC22588E0002AE080?OpenDocument&lang=LV,Gatis.Liepins@saeima.lv
Ģirts Štekerhofs,Zaļo un Zemnieku savienības frakcija,V,1964,Ventspils,Augstākā izglītība (Rīgas medicīnas institūts 1988 Ārsts; ķirurgs),,Apstiprināts uz laiku,,https://titania.saeima.lv/personal/deputati/saeima14_depweb_public.nsf/0/8E9DDF8BF0D15A21C22588E0002AE100?OpenDocument&lang=LV,Girts.Stekerhofs@saeima.lv
Ģirts Valdis Kristovskis,Frakcija JAUNĀ VIENOTĪBA,V,1962,Rīga,"Augstākā izglītība (Rīgas Tehniskā Universitāte 1984 būvinženieris; Aizsardzības Plānošanas un Resursu Vadības Institūts, ASV 1995 starptautiskais kurss; Latvijas Universitāte 1998 tiesību zinātņu maģistrs; Londonas Ekonomikas augstskola 2014 biznesa vadības maģistrs)",,Apstiprināts uz laiku,,https://titania.saeima.lv/personal/deputati/saeima14_depweb_public.nsf/depArchive.html?ReadForm&unid=5DCAC05E2C421CEBC22588E0002AE03D&url=./0/5DCAC05E2C421CEBC22588E0002AE03D?OpenDocument&lang=LV,Girts.Valdis.Kristovskis@saeima.lv
Glorija Grevcova,Pie frakcijām nepiederošie deputāti,S,1988,Ropažu novads,Augstākā izglītība (Latvijas Sporta pedagoģijas akadēmija 2013 Pedagogs),,Pilntiesīgs mandāts,,https://titania.saeima.lv/personal/deputati/saeima14_depweb_public.nsf/0/CF355E17683E13EBC22588E0002AE212?OpenDocument&lang=LV,Glorija.Grevcova@saeima.lv
Gunārs Kūtris,Zaļo un Zemnieku savienības frakcija,V,1960,Mārupes novads,"Augstākā izglītība (Latvijas universitāte 1982 jurists; Latvijas universitāte 1994 jurists, maģistrs)",,Pilntiesīgs mandāts,,https://titania.saeima.lv/personal/deputati/saeima14_depweb_public.nsf/depArchive.html?ReadForm&unid=00D7FD2350CB603EC22588E0002AE12F&url=./0/00D7FD2350CB603EC22588E0002AE12F?OpenDocument&lang=LV,Gunars.Kutris@saeima.lv
Gundars Daudze,Zaļo un Zemnieku savienības frakcija,V,1965,Ventspils,Augstākā izglītība (Rīgas 49.vidusskola 1983 vispārējā; Rīgas Medicīnas institūts 1989 ārsts - pediatrs; Republikas bērnu klīniskā slimnīca 1990 anesteziologs - reanimatologs),Zaļo un Zemnieku savienība,Pilntiesīgs mandāts,,https://titania.saeima.lv/personal/deputati/saeima14_depweb_public.nsf/depArchive.html?ReadForm&unid=84AFBF137ECED25AC22588E0002AE0FA&url=./0/84AFBF137ECED25AC22588E0002AE0FA?OpenDocument&lang=LV,Gundars.Daudze@saeima.lv
Harijs Rokpelnis,Zaļo un Zemnieku savienības frakcija,V,1987,Valmieras novads,Augstākā izglītība (Rīgas Ekonomikas augstskola 2010 Ekonomika un biznesa vadība),,Pilntiesīgs mandāts,,https://titania.saeima.lv/personal/deputati/saeima14_depweb_public.nsf/0/DB66A9AE0D730591C22588E0002AE179?OpenDocument&lang=LV,Harijs.Rokpelnis@saeima.lv
Igors Judins,Frakcija “Stabilitātei!”,V,1978,Rīga,Augstākā izglītība (Baltijas Krievu Institūts 2004 Jurists),"Stabilitātei!, Politiskā partija",Pilntiesīgs mandāts,,https://titania.saeima.lv/personal/deputati/saeima14_depweb_public.nsf/0/21A69EE21BA55AF2C22588E0002AE1E3?OpenDocument&lang=LV,Igors.Judins@saeima.lv
Igors Rajevs,"Frakcija “APVIENOTAIS SARAKSTS – Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija”",V,1965,Rīga,Augstākā izglītība (Rīgas 13. vidusskola 1983 Vispārējā; Maskavas vispārējā karaspēka kara skola 1987 Riteņu un kāpurķēžu tehnikas ekspluatācijas inženieris),,Pilntiesīgs mandāts,,https://titania.saeima.lv/personal/deputati/saeima14_depweb_public.nsf/0/16422DA52F2C4042C22588E0002AE4CC?OpenDocument&lang=LV,Igors.Rajevs@saeima.lv
Iļja Ivanovs,Frakcija “Stabilitātei!”,V,1999,Daugavpils,Vidējā izglītība (Daugavpils 13. vidusskola 2017 Vispārējā videjā),,Pilntiesīgs mandāts,,https://titania.saeima.lv/personal/deputati/saeima14_depweb_public.nsf/0/701B51D85B997204C22588E0002AE1D6?OpenDocument&lang=LV,Ilja.Ivanovs@saeima.lv
Ilze Indriksone,Frakcija “Nacionālā apvienība”,S,1974,Talsu novads,Augstākā izglītība (Latvijas Lauksaimniecības universitāte 1998 Vides saimniecības inženiere; Latvijas Universitāte 2001 Maģistra grāds vides pārvaldībā),"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Pilntiesīgs mandāts,,https://titania.saeima.lv/personal/deputati/saeima14_depweb_public.nsf/depArchive.html?ReadForm&unid=11CBD8C6D7C07380C22588E0002AE233&url=./0/11CBD8C6D7C07380C22588E0002AE233?OpenDocument&lang=LV,Ilze.Indriksone@saeima.lv
Ilze Vergina,Frakcija JAUNĀ VIENOTĪBA,S,1969,Smiltenes novads,"Augstākā izglītība (Liepājas pedagoģiskais institūts 1992 Profesionālais maģistra grāds latviešu valodā un literatūrā, skolotāja kvalifikācija; Liepājas pedagoģiskā augstskola 1996 Humanitāro zinātņu maģistra grāds filoloģijā)","Jaunā VIENOTĪBA (Nacionālās VIENOTĪBAS apvienība; Partijas Jaunais laiks, partijas Pilsoniskā savienība un partijas Sabiedrība Citai Politikai apvienība; VIENOTĪBA)",Apstiprināts uz laiku,,https://titania.saeima.lv/personal/deputati/saeima14_depweb_public.nsf/depArchive.html?ReadForm&unid=3A360C6FE067EA26C22588E0002AE0B5&url=./0/3A360C6FE067EA26C22588E0002AE0B5?OpenDocument&lang=LV,Ilze.Vergina@saeima.lv
Ināra Mūrniece,Frakcija “Nacionālā apvienība”,S,1970,Rīga,Augstākā izglītība (Ekonomikas un Kultūras augstskola 2007 Profesionālais bakalaura grāds tulkošanā; Latvijas Universitāte 2009 Tulkotāja),,Pilntiesīgs mandāts,,https://titania.saeima.lv/personal/deputati/saeima14_depweb_public.nsf/depArchive.html?ReadForm&unid=AE9AE6A0595BDDFFC22588E0002AE269&url=./0/AE9AE6A0595BDDFFC22588E0002AE269?OpenDocument&lang=LV,Inara.Murniece@saeima.lv
Inese Kalniņa,Frakcija JAUNĀ VIENOTĪBA,S,1967,Rīga,"Augstākā izglītība (Latvijas Universitāte 1991 Matemātiķis, pasniedzējs; Latvijas Universitāte 1996 Ārējo sakaru struktūrvienību vadītājs; Latvijas Universitāte 2003 Diplomēts jurists; Latvijas Universitāte 2005 Maģistra grāds tiesību zinātnēs; Latvijas Universitāte 2016 Doktora grāds tiesību zinātnēs)",,Pilntiesīgs mandāts,,https://titania.saeima.lv/personal/deputati/saeima14_depweb_public.nsf/0/526A20701EACC583C22588E0002AE08D?OpenDocument&lang=LV,Inese.Kalnina@saeima.lv
