Surname_name,UI,Former,Frakcija,DeclYear,Interest_Type,Entity_name,Entity_RegNum,Legal_form,Municipality,Region,NACE_1,Specif,Position,Income_type,Income_value,Fin_v,Fin_v_number,Fin_v_value
"Bluķe, Dace",LSRD-09,Private,A/P!,2018,Position / Private,"Valsts SIA ""Latvijas Koncerti""",40003374610,VSIA,Rīgas municipality,Rīga/Pierīga,"R - Arts, Entertainment, Sports and Recreation",,Žūrijas locekle,,,,,
"Bluķe, Dace",LSRD-09,Private,A/P!,2018,Position / Private,"Profesionālās izglītības kompetences centrs ""Liepājas Mūzikas, mākslas un dizaina vidusskola""",90010944679,State institution,Liepājas municipality,Kurzeme,P - Education ,,Profesionālās izglītības skolotājs,,,,,
"Bluķe, Dace",LSRD-09,Private,A/P!,2018,Position / Private,LIEPĀJAS UNIVERSITĀTE,90000036859,State institution,Liepājas municipality,Kurzeme,P - Education ,,Lektors,,,,,
"Bluķe, Dace",LSRD-09,Private,A/P!,2018,Position / Private,"Liepājas pilsētas pašvaldības iestāde ""Kultūras pārvalde""",90002008987,State institution,Liepājas municipality,Kurzeme,"R - Arts, Entertainment, Sports and Recreation",,Kultūras projektu konkursa ekspertu komisijas loceklis,,,,,
"Bluķe, Dace",LSRD-09,Private,A/P!,2018,Position / Private,Latvijas Radošo savienību padome,40008010223,BDR,Rīgas municipality,Rīga/Pierīga,"R - Arts, Entertainment, Sports and Recreation",,Valdes priekšsēdētāja,,,,,
"Bluķe, Dace",LSRD-09,Private,A/P!,2018,Position / Private,Latvijas Nacionālā Mūzikas padome,40008133354,BDR,Rīgas municipality,Rīga/Pierīga,S - Civil Society; Professionist Associations; Other service activities,CSO / Culture,Valdes locekle,,,,,
"Bluķe, Dace",LSRD-09,Private,A/P!,2018,Position / Private,LATVIJAS MŪZIKAS INFORMĀCIJAS CENTRS,40008068834,BDR,Rīgas municipality,Rīga/Pierīga,S - Civil Society; Professionist Associations; Other service activities,,Valdes locekle,,,,,
"Bluķe, Dace",LSRD-09,Private,A/P!,2018,Position / Private,IK BALTIC SOUND AGENCY,42102037591,IK ,Liepājas municipality,Kurzeme,"R - Arts, Entertainment, Sports and Recreation",,Individuālais komersants,,,,,
"Bluķe, Dace",LSRD-09,Private,A/P!,2018,Position / Private,"""Nodibinājums Via Cultura""",40008168445,NOD,Liepājas municipality,Kurzeme,"R - Arts, Entertainment, Sports and Recreation",,Valdes priekšsēdētāja,,,,,
"Bluķe, Dace",LSRD-09,Private,A/P!,2018,Income / P-A-R,Latvijas Radošo savienību padome,40008010223,BDR,Rīgas municipality,Rīga/Pierīga,"R - Arts, Entertainment, Sports and Recreation",,,Alga," €150,00 ",,,
"Bluķe, Dace",LSRD-09,Private,A/P!,2018,Income / P-A-R,Latvijas Radošo savienību padome,40008010223,BDR,Rīgas municipality,Rīga/Pierīga,"R - Arts, Entertainment, Sports and Recreation",,,Honorārs," €132,35 ",,,
"Bluķe, Dace",LSRD-09,Private,A/P!,2018,Income / P-A-R,IK BALTIC SOUND AGENCY,42102037591,IK ,Liepājas municipality,Kurzeme,"R - Arts, Entertainment, Sports and Recreation",,,Alga," €8.640,00 ",,,
"Bluķe, Dace",LSRD-09,Private,A/P!,2018,Income / P-A-R,"""Nodibinājums Via Cultura""",40008168445,NOD,Liepājas municipality,Kurzeme,"R - Arts, Entertainment, Sports and Recreation",,,Alga," €731,16 ",,,
"Bluķe, Dace",LSRD-09,Private,A/P!,2018,Income / P-A-R,"""Nodibinājums Via Cultura""",40008168445,NOD,Liepājas municipality,Kurzeme,"R - Arts, Entertainment, Sports and Recreation",,,Honorārs," €105,88 ",,,
"Bluķe, Dace",LSRD-09,Private,A/P!,2018,Income / Private,"AS ""LATVIJAS MEDIJI""",40103027253,AS,Rīgas municipality,Rīga/Pierīga,J - Information and Communication,,,Honorārs," €51,00 ",,,
"Bluķe, Dace",LSRD-09,Private,A/P!,2018,Income / P-A-R,"Liepājas pilsētas pašvaldības iestāde ""Kultūras pārvalde""",90002008987,State institution,Liepājas municipality,Kurzeme,"R - Arts, Entertainment, Sports and Recreation",,,Alga," €170,00 ",,,
"Bluķe, Dace",LSRD-09,Private,A/P!,2018,Income / P-A-R,Latvijas Radošo savienību padome,40008010223,BDR,Rīgas municipality,Rīga/Pierīga,"R - Arts, Entertainment, Sports and Recreation",,,U.c. ienākumi," €1.200,00 ",,,
"Bluķe, Dace",LSRD-09,Private,A/P!,2018,Income / P-A-R,LIEPĀJAS UNIVERSITĀTE,90000036859,State institution,Liepājas municipality,Kurzeme,P - Education ,,,Alga," €1.614,72 ",,,
"Bluķe, Dace",LSRD-09,Private,A/P!,2018,Income / P-A-R,"Valsts SIA ""Latvijas Koncerti""",40003374610,VSIA,Rīgas municipality,Rīga/Pierīga,"R - Arts, Entertainment, Sports and Recreation",,,U.c. ienākumi," €175,96 ",,,
"Blumbergs, Aldis",LSRD-10,Private,KPV LV,2018,Position / Private,"SIA ""Saulaines Industrijas""",40003786882,SIA,Babītes municipality,Vidzeme,L - Real Estate Activities,,Prokūrists,,,,,
"Blumbergs, Aldis",LSRD-10,Private,KPV LV,2018,Position / Private,"SIA ""T.M.B. Projekts""",40003655434,SIA,Babītes municipality,Vidzeme,L - Real Estate Activities,,Prokūrists,,,,,
"Blumbergs, Aldis",LSRD-10,Private,KPV LV,2018,Position / Private,"SIA ""BF Advisory""",41203041106,SIA,Carnikavas municipality,Vidzeme,"M - Professional, scientific and technical activities",,Valdes loceklis,,,,,
"Blumbergs, Aldis",LSRD-10,Private,KPV LV,2018,Position / Private,LATVIJAS ZVĒRINĀTU ADVOKĀTU PADOME,90000362322,State institution,Rīgas municipality,Rīga/Pierīga,"M - Professional, scientific and technical activities",,Zvērināts advokāts,,,,,
"Blumbergs, Aldis",LSRD-10,Private,KPV LV,2018,Holding,"SIA ""Saulaines Industrijas""",40003786882,SIA,Babītes municipality,Vidzeme,L - Real Estate Activities,,,,,Kapitāla daļas,113," € 565,00 "
"Blumbergs, Aldis",LSRD-10,Private,KPV LV,2018,Holding,"SIA ""T.M.B. Projekts""",40003655434,SIA,Babītes municipality,Rīga/Pierīga,L - Real Estate Activities,,,,,Kapitāla daļas,20," € 2.840,00 "
"Blumbergs, Aldis",LSRD-10,Private,KPV LV,2018,Holding,"SIA ""BF Advisory""",41203041106,SIA,Carnikavas municipality,Vidzeme,"M - Professional, scientific and technical activities",,,,,Kapitāla daļas,1," € 1,00 "
"Bondars, Mārtiņš",LSRD-11,MP,A/P!,2018,Position / Private,"Sabiedriskā organizācija ""100999""",40008040209,SAB,Mārupes municipality,Vidzeme,S - Civil Society; Professionist Associations; Other service activities,CSO - Social work,Padomes loceklis,,,,,
"Bondars, Mārtiņš",LSRD-11,MP,A/P!,2018,Position / Private,"Biedrība ""Ekonomistu apvienība 2010""",40008008712,BDR,Rīgas municipality,Rīga/Pierīga,S - Civil Society; Professionist Associations; Other service activities,Activities of professional membership organisations,Valdes loceklis,,,,,
"Bondars, Mārtiņš",LSRD-11,MP,A/P!,2018,Position / Private,"""Rucavas arborētuma draugu atbalsta biedrība""",40008132912,BDR,Rucavas municipality,kurzeme,S - Civil Society; Professionist Associations; Other service activities,CSO - Environment,Padomes loceklis,,,,,
"Bondars, Mārtiņš",LSRD-11,MP,A/P!,2018,Holding,"SIA ""Harijs Bondars""",50103084351,SIA,Mārupes municipality,Vidzeme,K - Financial and insurance activities,,,,,Kapitāla daļas,840," € 1.195,00 "
"Bondars, Mārtiņš",LSRD-11,MP,A/P!,2018,Holding,"Akciju sabiedrība ""Conexus Baltic Grid""",40203041605,AS,Rīgas municipality,Rīga/Pierīga,H - Transporting and storage,,,,,Akcijas,93," € 93,00 "
"Bondars, Mārtiņš",LSRD-11,MP,A/P!,2018,Income / P-A-R,"Akciju sabiedrība ""Conexus Baltic Grid""",40203041605,AS,Rīgas municipality,Rīga/Pierīga,H - Transporting and storage,,,Dividendes," € 32,55 ",,,
"Budriķis, Uldis",LSRD-12,Private,JKP,2018,Position / Private,"SIA ""Hubbs""",40203098271,SIA,Liepājas municipality,Kurzeme,"M - Professional, scientific and technical activities",,VALDES PRIEKŠSĒDĒTĀJS,,,,,
"Budriķis, Uldis",LSRD-12,Private,JKP,2018,Position / Private,Satversmes aizsardzībai,40008259015,BDR,Rīgas municipality,Rīga/Pierīga,S - Civil Society; Professionist Associations; Other service activities,CSO - Legal,VALDES PRIEKŠSĒDĒTĀJS,,,,,
"Budriķis, Uldis",LSRD-12,Private,JKP,2018,Position / Private,"""Sekulāras sabiedrības un zinātnes veicināšanas fonds""",40008255259,NOD,Rīgas municipality,Rīga/Pierīga,S - Civil Society; Professionist Associations; Other service activities,CSO / Culture,Valdes loceklis,,,,,
"Budriķis, Uldis",LSRD-12,Private,JKP,2018,Holding,"SIA ""Hubbs""",40203098271,SIA,Liepājas municipality,Kurzeme,"M - Professional, scientific and technical activities",,,,,Kapitāla daļas,10," € 20,00 "
"Butāns, Jānis",LSRD-13,Private,JKP,2018,Position / Private,"ORIENTĒŠANĀS SPORTA KLUBS ""MERIDIĀNS""",40008033743,BDR,Cēsu municipality,Vidzeme,"R - Arts, Entertainment, Sports and Recreation",,Valdes loceklis,,,,,
"Butāns, Jānis",LSRD-13,Private,JKP,2018,Holding,Energijos Skirstymo Operatorius AB,T0900005896,Foreign Entity,Šiauliai ,Lietuva,,,,,,Akcijas,250," € 72,50 "
"Butāns, Jānis",LSRD-13,Private,JKP,2018,Holding,"Akciju sabiedrība ""GRINDEKS""",40003034935,AS,Rīgas municipality,Rīga/Pierīga,C - Manufacturing,,,,,Akcijas,50," € 70,00 "
"Butāns, Jānis",LSRD-13,Private,JKP,2018,Holding,"Akciju sabiedrība ""Cēsu alus""",40003030721,AS,Cēsu municipality,Vidzeme,C - Manufacturing,,,,,Akcijas,16," € 454,40 "
"Cielēns, Jānis",LSRD-14,Local politician,JKP,2018,Position / Private,"SIA ""SINGARI""",49501015399,SIA,Priekuļu municipality,Vidzeme,"A - Agriculture, forestry and fishing",,VALDES PRIEKŠSĒDĒTĀJS,,,,,
"Cielēns, Jānis",LSRD-14,Local politician,JKP,2018,Position / Private,Saules Brāļi sports,40008207117,BDR,Kauguru municipality,Vidzeme,"R - Arts, Entertainment, Sports and Recreation",,Valdes loceklis,,,,,
"Cielēns, Jānis",LSRD-14,Local politician,JKP,2018,Holding,"SIA ""SINGARI""",49501015399,SIA,Rīgas municipality,Rīga/Pierīga,"A - Agriculture, forestry and fishing",,,,,Kapitāla daļas,100," € 2.800,00 "
"Cielēns, Jānis",LSRD-14,Local politician,JKP,2018,Income / P-A-R,"SIA ""SINGARI""",49501015399,SIA,Rīgas municipality,Rīga/Pierīga,"A - Agriculture, forestry and fishing",,,Alga," € 6.000,00 ",,,
"Cielēns, Jānis",LSRD-14,Local politician,JKP,2018,Income / Private,SIA Eko Lauki,44103062503,SIA,Kauguru municipality,Vidzeme,"A - Agriculture, forestry and fishing",,,Dividendes," € 1.807,20 ",,,
"Cielēns, Jānis",LSRD-14,Local politician,JKP,2018,Income / Private,"SIA ""TOLMETS VIDZEME""",44103059611,SIA,Cēsu municipality,Vidzeme,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,,,U.c. ienākumi," € 549,56 ",,,
"Cielēns, Jānis",LSRD-14,Local politician,JKP,2018,Income / P-A-R,"SIA ""SINGARI""",49501015399,SIA,Priekuļu municipality,Vidzeme,"A - Agriculture, forestry and fishing",,,Ienāk. no saimn. darbības un komercdarb," € 31.915,13 ",,,
"Daudze, Gundars",LSRD-17,MP,ZZS,2018,Position / Private,"SIA ""Ziemeļkurzemes reģionālā slimnīca""",40003246194,SIA,Ventspils municipality,Kurzeme,Q - Human health and social work activities,,Ārsts anesteziologs reanimatologs,,,,,
"Daudze, Gundars",LSRD-17,MP,ZZS,2018,Income / P-A-R,"SIA ""Ziemeļkurzemes reģionālā slimnīca""",40003246194,SIA,Ventspils municipality,Kurzeme,Q - Human health and social work activities,,,Alga," € 11.839,11 ",,,
"Dolgopolovs, Sergejs",LSRD-18,MP,Saskaņa,2018,Position / Private,Pilsoņu un nepilsoņu savienība,40008036114,BDR,Rīgas municipality,Rīga/Pierīga,S - Civil Society; Professionist Associations; Other service activities,Activities of business and employers membership organisations; CSO,Līdzpriekssēdetajs,,,,,
"Dolgopolovs, Sergejs",LSRD-18,MP,Saskaņa,2018,Position / Private,Draudzības un sadarbības fonds,40008037590,ASF,Rīgas municipality,Rīga/Pierīga,S - Civil Society; Professionist Associations; Other service activities,"CSO - Social, Economic",Valdes loceklis,,,,,
"Dolgopolovs, Sergejs",LSRD-18,MP,Saskaņa,2018,Position / Private,"Biedrība ""PILSONĪBA, IZGLĪTĪBA, KULTŪRA""",40008037317,BDR,Rīgas municipality,Rīga/Pierīga,S - Civil Society; Professionist Associations; Other service activities,"CSO - Social issues, integration",Valdes loceklis,,,,,
"Dolgopolovs, Sergejs",LSRD-18,MP,Saskaņa,2018,Position / Private,"""CITA POLITIKA""",40008080983,BDR,Rīgas municipality,Rīga/Pierīga,S - Civil Society; Professionist Associations; Other service activities,"CSO - Politics, democracy",Valdes loceklis,,,,,
"Dolgopolovs, Sergejs",LSRD-18,MP,Saskaņa,2018,Income / Private,"SIA ""SISTĒMA MV""",40102020440,SIA,Rīgas municipality,Rīga/Pierīga,K - Financial and insurance activities,,,U.c. ienākumi," € 1.400,70 ",,,
"Dombrava, Jānis",LSRD-19,MP,TB/LNNK,2018,Holding,Volkswagen Aktiengesellschaft,T0900006705,Foreign Entity,Wolfsburg,Vācija,C - Manufacturing,,,,,Akcijas,23," € 3.195,16 "
"Dombrava, Jānis",LSRD-19,MP,TB/LNNK,2018,Holding,Synergy Pharmaceuticals Inc.,T0900008299,Foreign Entity,New York,ASV,C - Manufacturing,,,,,Akcijas,3380," € 309,09 "
"Dombrava, Jānis",LSRD-19,MP,TB/LNNK,2018,Holding,DURECT Corporation,T0900007412,Foreign Entity,California,ASV,C - Manufacturing,,,,,Akcijas,8400," €3.258,04 "
"Dombrava, Jānis",LSRD-19,MP,TB/LNNK,2018,Holding,"Akciju sabiedrība ""Ditton pievadķēžu rūpnīca""",40003030187,AS,Daugavpils municipality ,Latgale,C - Manufacturing,,,,,Akcijas,15," € 2,82 "
"Dombrava, Jānis",LSRD-19,MP,TB/LNNK,2018,Income / Private,WALT DISNEY CO.,T0900006034,Foreign Entity,New York,ASV,"R - Arts, Entertainment, Sports and Recreation",,,Dividendes," € 27,57 ",,,
"Dombrava, Jānis",LSRD-19,MP,TB/LNNK,2018,Income / Private,JANIS DOMBRAVA,,,,,Self-employment,,,Income from stock or equity transaction," €5.141,13 ",,,
"Dombrava, Jānis",LSRD-19,MP,TB/LNNK,2018,Income / P-A-R,Volkswagen Aktiengesellschaft,T0900006705,Foreign Entity,Wolfsburg,Vācija,C - Manufacturing,,,Dividendes," €125,37 ",,,
"Dombrava, Jānis",LSRD-19,MP,TB/LNNK,2018,Income / Private,Seaspan Corporation,T0900007413,Foreign Entity,,Honkonga,H - Transporting and storage,,,Dividendes," € 397,13 ",,,
"Dūklavs, Jānis",LSRD-21,Minister,ZZS,2018,Holding,"SIA ""TONDO""",40003398657,SIA,Rīgas municipality,Rīga/Pierīga,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,,,,,Kapitāla daļas,500," €15.000,00 "
"Dūklavs, Jānis",LSRD-21,Minister,ZZS,2018,Holding,"SIA ""PIEBALGAS ALUS""",40003376664,SIA,Jaunpiebalgas municipality,Vidzeme,C - Manufacturing,,,,,Kapitāla daļas,191053," €191.053,00 "
"Dūklavs, Jānis",LSRD-21,Minister,ZZS,2018,Holding,"SIA ""SELDIJS""",44103029886,SIA,Jaunpiebalgas municipality,Vidzeme,I - Accommodatio and food service activities,,,,,Kapitāla daļas,747," €14.940,00 "
"Dūrītis, Ilmārs",LSRD-22,Private,A/P!,2018,Position / Private,Latvijas Veterinārārstu biedrība,40008002739,BDR,Jelgavas municipality,Zemgale,P - Education ,,Sertifikācijas komisijas loceklis,,,,,
"Dūrītis, Ilmārs",LSRD-22,Private,A/P!,2018,Position / Private,LATVIJAS LAUKSAIMNIECĪBAS UNIVERSITĀTE,90000041898,State institution,Jelgavas municipality,Zemgale,P - Education ,,"Profesors, vadošais pētnieks",,,,,
"Dūrītis, Ilmārs",LSRD-22,Private,A/P!,2018,Position / Private,LATVIJAS LAUKSAIMNIECĪBAS UNIVERSITĀTE,90000041898,State institution,Jelgavas municipality,Zemgale,P - Education ,,LLU Senāta loceklis,,,,,
"Dūrītis, Ilmārs",LSRD-22,Private,A/P!,2018,Position / Private,ILMĀRS DŪRĪTIS,,,,,,,VETERINĀRĀRSTS,,,,,
"Dūrītis, Ilmārs",LSRD-22,Private,A/P!,2018,Income / P-A-R,Latvijas Veterinārārstu biedrība,40008002739,BDR,Jelgavas municipality,Zemgale,P - Education ,,,Alga," €562,00 ",,,
"Dūrītis, Ilmārs",LSRD-22,Private,A/P!,2018,Income / P-A-R,LATVIJAS LAUKSAIMNIECĪBAS UNIVERSITĀTE,90000041898,State institution,Jelgavas municipality,Zemgale,P - Education ,,,Alga," €38.035,44 ",,,
"Dūrītis, Ilmārs",LSRD-22,Private,A/P!,2018,Income / P-A-R,LATVIJAS LAUKSAIMNIECĪBAS UNIVERSITĀTE,90000041898,State institution,Jelgavas municipality,Zemgale,P - Education ,,,Honorārs," €321,43 ",,,
"Dūrītis, Ilmārs",LSRD-22,Private,A/P!,2018,Income / P-A-R,LATVIJAS LAUKSAIMNIECĪBAS UNIVERSITĀTE,90000041898,State institution,Jelgavas municipality,Zemgale,P - Education ,,,U.c. ienākumi," €280,00 ",,,
"Dūrītis, Ilmārs",LSRD-22,Private,A/P!,2018,Income / P-A-R,LATVIJAS LAUKSAIMNIECĪBAS UNIVERSITĀTE,90000041898,State institution,Jelgavas municipality,Zemgale,P - Education ,,,Ienāk. no saimn. darbības un komercdarb," €15,62 ",,,
"Dūrītis, Ilmārs",LSRD-22,Private,A/P!,2018,Income / Private,"SIA ""AMETEKS""",42103040230,SIA,Jēkabpils municipality,Zemgale,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,,,U.c. ienākumi," €95,40 ",,,
"Dūrītis, Ilmārs",LSRD-22,Private,A/P!,2018,Income / Private,PĀRTIKAS UN VETERINĀRAIS DIENESTS,90000064301,State institution,Rīgas municipality,Rīga/Pierīga,O - Public Administration and defense; compulsatory social security,,,U.c. ienākumi," €1.296,00 ",,,
"Dūrītis, Ilmārs",LSRD-22,Private,A/P!,2018,Income / Private,ILMĀRS DŪRĪTIS,,,,,Self-employment,,,Ienāk. no saimn. darbības un komercdarb," €11.225,00 ",,,
"Dzintars, Raivis",LSRD-23,MP,TB/LNNK,2018,Position / Private,"Atklātais sabiedriskais fonds ""AUSTRAS FONDS""",40008074099,SAB,Rīgas municipality,Rīga/Pierīga,S - Civil Society; Professionist Associations; Other service activities,"CSO - Politics, democracy",Valdes loceklis,,,,,
"Dzintars, Raivis",LSRD-23,MP,TB/LNNK,2018,Position / Private,"""Sargi valodu un Latviju""",40008132043,BDR,Rīgas municipality,Rīga/Pierīga,S - Civil Society; Professionist Associations; Other service activities,"CSO - Politics, democracy",Valdes loceklis,,,,,
"Feldmans, Krišjānis",LSRD-25,Local politician,JKP,2018,Position / Private,"SIA ""Legatus A.K.""",44103056263,SIA,Rīgas municipality,Rīga/Pierīga,N - Administrative and support service activities,,VALDES PRIEKŠSĒDĒTĀJS,,,,,
"Feldmans, Krišjānis",LSRD-25,Local politician,JKP,2018,Position / Private,"""Sumter"" SIA",40003754266,SIA,Rīgas municipality,Rīga/Pierīga,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,,VALDES PRIEKŠSĒDĒTĀJS,,,,,
"Feldmans, Krišjānis",LSRD-25,Local politician,JKP,2018,Position / Private,"""KF Consulting"" SIA",40103635275,SIA,Rīgas municipality,Rīga/Pierīga,"M - Professional, scientific and technical activities",,VALDES PRIEKŠSĒDĒTĀJS,,,,,
"Feldmans, Krišjānis",LSRD-25,Local politician,JKP,2018,Position / Private,"Akciju sabiedrība ""TUKUMA STRAUME""",49203000577,AS,Tukuma municipality,Zemgale,C - Manufacturing,,Pilnvarojums,,,,,
"Feldmans, Krišjānis",LSRD-25,Local politician,JKP,2018,Income / P-A-R,"""KF Consulting"" SIA",40103635275,SIA,Rīgas municipality,Rīga/Pierīga,"M - Professional, scientific and technical activities",,,Alga," €6.480,00 ",,,
"Feldmans, Krišjānis",LSRD-25,Local politician,JKP,2018,Income / Private,"SIA ""Makaj Foundation""",40103434085,SIA,Rīgas municipality,Rīga/Pierīga,"M - Professional, scientific and technical activities",,,Ienākums no īpašuma pārdošanas," €3.000,00 ",,,
"Feldmans, Krišjānis",LSRD-25,Local politician,JKP,2018,Income / P-A-R,"""Sumter"" SIA",40003754266,SIA,Rīgas municipality,Rīga/Pierīga,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,,,Alga," €2.150,00 ",,,
"Geidāns, Aivars",LSRD-26,Local politician,KPV LV,2018,Position / Private,"SIA ""BIO Dārzs""",40103874306,SIA,Rīgas municipality,Rīga/Pierīga,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,,Valdes loceklis,,,,,
"Geidāns, Aivars",LSRD-26,Local politician,KPV LV,2018,Position / Private,SIA UMUstone,40203074983,SIA,Rīgas municipality,Rīga/Pierīga,F - Construction,,Valdes loceklis,,,,,
