Surname_name,Mandate_status,Frakcija,DeclYear,filed_as,Committees,Interest_Type,Entity_Type,Entity_name,Entity_RegNum,Position,Income_type,Income_value,Fin_v,Fin_v_value,Entity_Country,Entity_Municipality,Entity_Region,NACE_1,Specif
"Agešins, Valērijs",Pilntiesīgs mandāts,Saskaņa,2019,Deputāts - Latvijas Republikas Saeima,Juridiskā komisija; Nacionālās drošības komisija,Position | Private Sector,Sabiedrība ar Ierobežotu Atbildību,Baltijas Starptautiskā Akadēmija,40003101808,Pasniedzējs (lektors),,,,,Latvia,Rīgas municipality,Rīga/Pierīga,Izglitība ,
"Agešins, Valērijs",Pilntiesīgs mandāts,Saskaņa,2019,Deputāts - Latvijas Republikas Saeima,Juridiskā komisija; Nacionālās drošības komisija,Income | Private Sector,Sabiedrība ar Ierobežotu Atbildību,Baltijas Starptautiskā Akadēmija,40003101808,,Alga," € 1,385.18 ",,,Latvia,Rīgas municipality,Rīga/Pierīga,Izglitība ,
"Agešins, Valērijs",Pilntiesīgs mandāts,Saskaņa,2019,Deputāts - Latvijas Republikas Saeima,Juridiskā komisija; Nacionālās drošības komisija,Income | Private Sector,Akciju Sabiedrība,BALTA,40003049409,,Apdrošināšanas atlīdzība, € 133.01 ,,,Latvia,Rīgas municipality,Rīga/Pierīga,Finanšu un apdrošināšanas darbības,
"Ašeradens, Arvils",Pilntiesīgs mandāts,Jaunā Vienotība,2018,Deputāts - Latvijas Republikas Saeima,"Izglītības, kultūras un zinātnes komisija (Priekšsēdētājs, no 21.11.2018); Ilgtspējīgas attīstības komisija (no 20.11.2018)",Position | Private Sector,Biedrība,Rojas jahtklubs,40008133617,Valdes loceklis,,,,,Latvia,Rojas municipality,Kurzeme,"Māksla, izklaide, sports un atpūta",
"Ašeradens, Arvils",Pilntiesīgs mandāts,Jaunā Vienotība,2018,Deputāts - Latvijas Republikas Saeima,"Izglītības, kultūras un zinātnes komisija (Priekšsēdētājs, no 21.11.2018); Ilgtspējīgas attīstības komisija (no 20.11.2018)",Position | Private Sector,Nodibinājums,Mediju brīvības un attīstības fonds,40008108179,Valdes loceklis,,,,,Latvia,Rīgas municipality,Rīga/Pierīga,"Pilsoniskā sabiedrība, profesionāļu apvienības, citi pakalpojumi","CSO - Politics, democracy"
"Ašeradens, Arvils",Pilntiesīgs mandāts,Jaunā Vienotība,2018,Deputāts - Latvijas Republikas Saeima,"Izglītības, kultūras un zinātnes komisija (Priekšsēdētājs, no 21.11.2018); Ilgtspējīgas attīstības komisija (no 20.11.2018)",Income | Private Sector,Eiropas Komercsabiedrība,Capitalia,40003933213,,Procenti," €  1,320.00 ",,,Latvia,Rīgas municipality,Rīga/Pierīga,Finanšu un apdrošināšanas darbības,
"Ašeradens, Arvils",Pilntiesīgs mandāts,Jaunā Vienotība,2019,Deputāts - Latvijas Republikas Saeima,"Izglītības, kultūras un zinātnes komisija (Priekšsēdētājs); Ilgtspējīgas attīstības komisija; Administratīvi teritoriālās reformas komisija (no 21.11.2019)",Position | Private Sector,Biedrība,Rojas jahtklubs,40008133617,Valdes loceklis,,,,,Latvia,Rojas municipality,Kurzeme,"Māksla, izklaide, sports un atpūta",
"Ašeradens, Arvils",Pilntiesīgs mandāts,Jaunā Vienotība,2019,Deputāts - Latvijas Republikas Saeima,"Izglītības, kultūras un zinātnes komisija (Priekšsēdētājs); Ilgtspējīgas attīstības komisija; Administratīvi teritoriālās reformas komisija (no 21.11.2019)",Position | Private Sector,Nodibinājums,Mediju brīvības un attīstības fonds,40008108179,Valdes loceklis,,,,,Latvia,Rīgas municipality,Rīga/Pierīga,"Pilsoniskā sabiedrība, profesionāļu apvienības, citi pakalpojumi","CSO - Politics, democracy"
"Ašeradens, Arvils",Pilntiesīgs mandāts,Jaunā Vienotība,2019,Deputāts - Latvijas Republikas Saeima,"Izglītības, kultūras un zinātnes komisija (Priekšsēdētājs); Ilgtspējīgas attīstības komisija; Administratīvi teritoriālās reformas komisija (no 21.11.2019)",Income | Private Sector,Eiropas Komercsabiedrība,Capitalia,40003933213,,Procenti," € 1,100.00 ",,,Latvia,Rīgas municipality,Rīga/Pierīga,Finanšu un apdrošināšanas darbības,
"Augulis, Uldis",Pilntiesīgs mandāts,Zaļo un Zemnieku Savienība,2018,Satiksmes Ministrs - Valsts Kanceleja,Ārlietu komisija (no 20.11.2018); Publisko izdevumu un revīzijas komisija (no 20.11.2018),Position | Private Sector,Kooperatīvā sabiedrība,Dobeles Iesals,43603008514,Biedrs,,,,,Latvia,Dobeles municipality,Zemgale,"Lauksaimniecība, mežsaimniecība un zivsaimniecība",
"Augulis, Uldis",Pilntiesīgs mandāts,Zaļo un Zemnieku Savienība,2018,Satiksmes Ministrs - Valsts Kanceleja,Ārlietu komisija (no 20.11.2018); Publisko izdevumu un revīzijas komisija (no 20.11.2018),Position | Private Sector,Zemnieka Saimniecība,Auguļi,45101001062,Īpašnieks,,,,,Latvia,Dobeles municipality,Zemgale,"Lauksaimniecība, mežsaimniecība un zivsaimniecība",
"Augulis, Uldis",Pilntiesīgs mandāts,Zaļo un Zemnieku Savienība,2018,Satiksmes Ministrs - Valsts Kanceleja,Ārlietu komisija (no 20.11.2018); Publisko izdevumu un revīzijas komisija (no 20.11.2018),Holding | Commercial Companies,Akciju Sabiedrība,Rīgas Dzirnavnieks,40003026603,,,,Kapitāla daļas, €  71.00 ,Latvia,Rīgas municipality,Rīga/Pierīga,"Lauksaimniecība, mežsaimniecība un zivsaimniecība",
"Augulis, Uldis",Pilntiesīgs mandāts,Zaļo un Zemnieku Savienība,2018,Satiksmes Ministrs - Valsts Kanceleja,Ārlietu komisija (no 20.11.2018); Publisko izdevumu un revīzijas komisija (no 20.11.2018),Income | Private Sector,Sabiedrība ar Ierobežotu Atbildību,Latvijas Grauds,48503023156,,Ienāk. no saimn. darbības un komercdarb," €  5,653.56 ",,,Latvia,Dobeles municipality,Zemgale,"Lauksaimniecība, mežsaimniecība un zivsaimniecība",
"Augulis, Uldis",Pilntiesīgs mandāts,Zaļo un Zemnieku Savienība,2018,Satiksmes Ministrs - Valsts Kanceleja,Ārlietu komisija (no 20.11.2018); Publisko izdevumu un revīzijas komisija (no 20.11.2018),Income | Private Sector,Sabiedrība ar Ierobežotu Atbildību,Green Motors,40203013086,,Ienākums no īpašuma pārdošanas," €  10,500.00 ",,,Latvia,Rīgas municipality,Rīga/Pierīga,Vairumtidzniecība un mazumtirdzniecība,
"Augulis, Uldis",Pilntiesīgs mandāts,Zaļo un Zemnieku Savienība,2018,Satiksmes Ministrs - Valsts Kanceleja,Ārlietu komisija (no 20.11.2018); Publisko izdevumu un revīzijas komisija (no 20.11.2018),Income | Private Sector,Sabiedrība ar Ierobežotu Atbildību,Stiga RM,40003194846,,Ienāk. no saimn. darbības un komercdarb," €  7,500.00 ",,,Latvia,Kuldīgas municipality,Kurzeme,"Lauksaimniecība, mežsaimniecība un zivsaimniecība",
"Augulis, Uldis",Pilntiesīgs mandāts,Zaļo un Zemnieku Savienība,2019,Deputāts - Latvijas Republikas Saeima,Ārlietu komisija; Publisko izdevumu un revīzijas komisija (līdz 31.01.2019); Pieprasījumu komisija (no 31.01.2019),Position | Private Sector,Zemnieka Saimniecība,Auguļi,45101001062,Īpašnieks,,,,,Latvia,Dobeles municipality,Zemgale,"Lauksaimniecība, mežsaimniecība un zivsaimniecība",
"Augulis, Uldis",Pilntiesīgs mandāts,Zaļo un Zemnieku Savienība,2019,Deputāts - Latvijas Republikas Saeima,Ārlietu komisija; Publisko izdevumu un revīzijas komisija (līdz 31.01.2019); Pieprasījumu komisija (no 31.01.2019),Holding | Commercial Companies,Akciju Sabiedrība,Rīgas Dzirnavnieks,40003026603,,,,Kapitāla daļas, € 71.00 ,Latvia,Rīgas municipality,Rīga/Pierīga,"Lauksaimniecība, mežsaimniecība un zivsaimniecība",
"Augulis, Uldis",Pilntiesīgs mandāts,Zaļo un Zemnieku Savienība,2019,Deputāts - Latvijas Republikas Saeima,Ārlietu komisija; Publisko izdevumu un revīzijas komisija (līdz 31.01.2019); Pieprasījumu komisija (no 31.01.2019),Income | Private Sector,Sabiedrība ar Ierobežotu Atbildību,Latvijas Grauds,48503023156,,Ienāk. no saimn. darbības un komercdarb," € 5,653.56 ",,,Latvia,Dobeles municipality,Zemgale,"Lauksaimniecība, mežsaimniecība un zivsaimniecība",
"Augulis, Uldis",Pilntiesīgs mandāts,Zaļo un Zemnieku Savienība,2019,Deputāts - Latvijas Republikas Saeima,Ārlietu komisija; Publisko izdevumu un revīzijas komisija (līdz 31.01.2019); Pieprasījumu komisija (no 31.01.2019),Income | Private Sector,Sabiedrība ar Ierobežotu Atbildību,Green Motors,40203013086,,Ienākums no īpašuma pārdošanas," € 24,000.00 ",,,Latvia,Rīgas municipality,Rīga/Pierīga,Vairumtidzniecība un mazumtirdzniecība,
"Baumane, Krista",Pilntiesīgs mandāts,Attīstībai/Par!,2018,,,,,,,,,,,,,,,,
"Baumane, Krista",Pilntiesīgs mandāts,Attīstībai/Par!,2019,,,,,,,,,,,,,,,,
"Baumane, Krista",Pilntiesīgs mandāts,Attīstībai/Par!,2020,Deputāte - Latvijas Republikas Saeima (sākot darbu - 13.06.2020),,Position | Private Sector,Sabiedrība ar Ierobežotu Atbildību,Frozen Grapes,40103915426,Likvidatore,,,,,Latvia,Rīgas municipality,Rīga/Pierīga,"Profesionālie, zinātniskie un tehniskie pakalpojumi",74.90; 85.59
"Beitnere-Le Galla, Dagmāra",Pilntiesīgs mandāts,Jauno Konservatīvo frakcija,2018,Deputāte - Latvijas Republikas Saeima,"Cilvēktiesību un sabiedrisko lietu komisija (Sekretāre, no 20.11.2018); Pilsonības, migrācijas un sabiedrības saliedētības komisija (no 20.11.2018)",Position | Academia,Izglītības Iestāde,Latvijas Universitāte,90000076669,Vadošais pētnieks,,,,,Latvia,Rīgas municipality,Rīga/Pierīga,Izglitība ,
"Beitnere-Le Galla, Dagmāra",Pilntiesīgs mandāts,Jauno Konservatīvo frakcija,2018,Deputāte - Latvijas Republikas Saeima,"Cilvēktiesību un sabiedrisko lietu komisija (Sekretāre, no 20.11.2018); Pilsonības, migrācijas un sabiedrības saliedētības komisija (no 20.11.2018)",Position | Private Sector,Biedrība,Fronda,40008084862,Biedre,,,,,Latvia,Rīgas municipality,Rīga/Pierīga,Izglitība ,
"Beitnere-Le Galla, Dagmāra",Pilntiesīgs mandāts,Jauno Konservatīvo frakcija,2019,Deputāte - Latvijas Republikas Saeima,"Cilvēktiesību un sabiedrisko lietu komisija (Sekretāre); Pilsonības, migrācijas un sabiedrības saliedētības komisija",Position | Private Sector,Biedrība,Fronda,40008084862,Biedrības biedre,,,,,Latvia,Rīgas municipality,Rīga/Pierīga,Izglitība ,
"Beitnere-Le Galla, Dagmāra",Pilntiesīgs mandāts,Jauno Konservatīvo frakcija,2019,Deputāte - Latvijas Republikas Saeima,"Cilvēktiesību un sabiedrisko lietu komisija (Sekretāre); Pilsonības, migrācijas un sabiedrības saliedētības komisija",Position | Academia,Izglītības Iestāde,Latvijas Universitāte,90000076669,Vadošā pētniece,,,,,Latvia,Rīgas municipality,Rīga/Pierīga,Izglitība ,
"Beitnere-Le Galla, Dagmāra",Pilntiesīgs mandāts,Jauno Konservatīvo frakcija,2019,Deputāte - Latvijas Republikas Saeima,"Cilvēktiesību un sabiedrisko lietu komisija (Sekretāre); Pilsonības, migrācijas un sabiedrības saliedētības komisija",Income | Academia,Izglītības Iestāde,Latvijas Universitāte,90000076669,,Alga," € 3,198.47 ",,,Latvia,Rīgas municipality,Rīga/Pierīga,Izglitība ,
"Beitnere-Le Galla, Dagmāra",Pilntiesīgs mandāts,Jauno Konservatīvo frakcija,2018,Deputāte - Latvijas Republikas Saeima,"Cilvēktiesību un sabiedrisko lietu komisija (Sekretāre, no 20.11.2018); Pilsonības, migrācijas un sabiedrības saliedētības komisija (no 20.11.2018)",Income | Foreign Institution,Ārvalsts Iestāde Latvijā,Ziemeļu Ministru Padome Birojs Latvijā,90000168075,,Honorārs, € 117.65 ,,,Latvia,Rīgas municipality,Rīga/Pierīga,Ārvalsts Iestādes,
"Benhena-Bēkena, Iveta",Pilntiesīgs mandāts,KPV LV,2018,Deputāte - Latvijas Republikas Saeima,"Izglītības, kultūras un zinātnes komisija (no 20.11.2018); Publisko izdevumu un revīzijas komisija (no 20.11.2018)",Income | Private Sector,Sabiedrība ar Ierobežotu Atbildību,Klota,40002073348,,Ienāk. no saimn. darbības un komercdarb, €  500.00 ,,,Latvia,Rīgas municipality,Rīga/Pierīga,Vairumtidzniecība un mazumtirdzniecība,
"Benhena-Bēkena, Iveta",Pilntiesīgs mandāts,KPV LV,2019,Deputāte - Latvijas Republikas Saeima,"Izglītības, kultūras un zinātnes komisija (līdz 13.06.2019); Publisko izdevumu un revīzijas komisija; Budžeta un finanšu (nodokļu) komisija (no 13.06.2019, Priekšsēdētāja no 20.06.2019)",,,,,,,,,,,,,,
"Bergmanis, Raimonds",Pilntiesīgs mandāts,Zaļo un Zemnieku Savienība,2018,Deputāts - Latvijas Republikas Saeima,"Aizsardzības, iekšlietu un korupcijas novēršanas komisija (no 20.11.2018); Pilsonības, migrācijas un sabiedrības saliedētības komisija (no 20.11.2018)",Position | Private Sector,Biedrība,Latvijas Olimpiskā komiteja,50008022421,Viceprezidents,,,,,Latvia,Rīgas municipality,Rīga/Pierīga,"Māksla, izklaide, sports un atpūta",
"Bergmanis, Raimonds",Pilntiesīgs mandāts,Zaļo un Zemnieku Savienība,2018,Deputāts - Latvijas Republikas Saeima,"Aizsardzības, iekšlietu un korupcijas novēršanas komisija (no 20.11.2018); Pilsonības, migrācijas un sabiedrības saliedētības komisija (no 20.11.2018)",Position | Private Sector,Biedrība,Latvijas Olimpiskā akadēmija,40008073021,Senators,,,,,Latvia,Rīgas municipality,Rīga/Pierīga,Izglitība ,
"Bergmanis, Raimonds",Pilntiesīgs mandāts,Zaļo un Zemnieku Savienība,2018,Deputāts - Latvijas Republikas Saeima,"Aizsardzības, iekšlietu un korupcijas novēršanas komisija (no 20.11.2018); Pilsonības, migrācijas un sabiedrības saliedētības komisija (no 20.11.2018)",Position | Private Sector,Biedrība,Latvijas Olimpiešu klubs,40008023637,Valdes loceklis,,,,,Latvia,Rīgas municipality,Rīga/Pierīga,"Māksla, izklaide, sports un atpūta",
"Bergmanis, Raimonds",Pilntiesīgs mandāts,Zaļo un Zemnieku Savienība,2019,Deputāts - Latvijas Republikas Saeima,"Aizsardzības, iekšlietu un korupcijas novēršanas komisija; Pilsonības, migrācijas un sabiedrības saliedētības komisija",Position | Private Sector,Biedrība,Latvijas Olimpiešu klubs,40008023637,Valdes loceklis,,,,,Latvia,Rīgas municipality,Rīga/Pierīga,"Māksla, izklaide, sports un atpūta",
"Bergmanis, Raimonds",Pilntiesīgs mandāts,Zaļo un Zemnieku Savienība,2019,Deputāts - Latvijas Republikas Saeima,"Aizsardzības, iekšlietu un korupcijas novēršanas komisija; Pilsonības, migrācijas un sabiedrības saliedētības komisija",Position | Private Sector,Biedrība,Latvijas Olimpiskā komiteja,50008022421,Viceprezidents,,,,,Latvia,Rīgas municipality,Rīga/Pierīga,"Māksla, izklaide, sports un atpūta",
"Bergmanis, Raimonds",Pilntiesīgs mandāts,Zaļo un Zemnieku Savienība,2019,Deputāts - Latvijas Republikas Saeima,"Aizsardzības, iekšlietu un korupcijas novēršanas komisija; Pilsonības, migrācijas un sabiedrības saliedētības komisija",Position | Private Sector,Biedrība,Latvijas Olimpiskā akadēmija,40008073021,Senators,,,,,Latvia,Rīgas municipality,Rīga/Pierīga,Izglitība ,
"Bergmanis, Raimonds",Pilntiesīgs mandāts,Zaļo un Zemnieku Savienība,2018,Deputāts - Latvijas Republikas Saeima,"Aizsardzības, iekšlietu un korupcijas novēršanas komisija (no 20.11.2018); Pilsonības, migrācijas un sabiedrības saliedētības komisija (no 20.11.2018)",Income | Private Sector,Ārvalsts Komersanta Filiāle,Swedbank Life Insurance Latvijas filiāle,40003899708,,U.c. ienākumi, € 20.36 ,,,Latvia,Rīgas municipality,Rīga/Pierīga,Finanšu un apdrošināšanas darbības,
"Blumbergs, Aldis",Pilntiesīgs mandāts,Pie frakcijām nepiederošie deputāti,2018,Deputāts - Latvijas Republikas Saeima,"Eiropas lietu komisija (no 20.11.2018); Aizsardzības, iekšlietu un korupcijas novēršanas komisija (Priekšsēdētājs, no 21.11.2018)",Position | Private Sector,Sabiedrība ar Ierobežotu Atbildību,Saulaines Industrijas,40003786882,Prokūrists,,,,,Latvia,Babītes municipality,Vidzeme,Operācijas ar nekustamo īpašumu,
"Blumbergs, Aldis",Pilntiesīgs mandāts,Pie frakcijām nepiederošie deputāti,2018,Deputāts - Latvijas Republikas Saeima,"Eiropas lietu komisija (no 20.11.2018); Aizsardzības, iekšlietu un korupcijas novēršanas komisija (Priekšsēdētājs, no 21.11.2018)",Position | Private Sector,Sabiedrība ar Ierobežotu Atbildību,T.M.B. Projekts,40003655434,Prokūrists,,,,,Latvia,Babītes municipality,Vidzeme,Operācijas ar nekustamo īpašumu,
"Blumbergs, Aldis",Pilntiesīgs mandāts,Pie frakcijām nepiederošie deputāti,2018,Deputāts - Latvijas Republikas Saeima,"Eiropas lietu komisija (no 20.11.2018); Aizsardzības, iekšlietu un korupcijas novēršanas komisija (Priekšsēdētājs, no 21.11.2018)",Position | Private Sector,Sabiedrība ar Ierobežotu Atbildību,BF Advisory,41203041106,Valdes loceklis,,,,,Latvia,Carnikavas municipality,Vidzeme,"Profesionālie, zinātniskie un tehniskie pakalpojumi",
"Blumbergs, Aldis",Pilntiesīgs mandāts,Pie frakcijām nepiederošie deputāti,2018,Deputāts - Latvijas Republikas Saeima,"Eiropas lietu komisija (no 20.11.2018); Aizsardzības, iekšlietu un korupcijas novēršanas komisija (Priekšsēdētājs, no 21.11.2018)",Holding | Commercial Companies,Sabiedrība ar Ierobežotu Atbildību,Saulaines Industrijas,40003786882,,,,Kapitāla daļas, €  565.00 ,Latvia,Babītes municipality,Vidzeme,Operācijas ar nekustamo īpašumu,
"Blumbergs, Aldis",Pilntiesīgs mandāts,Pie frakcijām nepiederošie deputāti,2018,Deputāts - Latvijas Republikas Saeima,"Eiropas lietu komisija (no 20.11.2018); Aizsardzības, iekšlietu un korupcijas novēršanas komisija (Priekšsēdētājs, no 21.11.2018)",Holding | Commercial Companies,Sabiedrība ar Ierobežotu Atbildību,T.M.B. Projekts,40003655434,,,,Kapitāla daļas," €  2,840.00 ",Latvia,Babītes municipality,Rīga/Pierīga,Operācijas ar nekustamo īpašumu,
"Blumbergs, Aldis",Pilntiesīgs mandāts,Pie frakcijām nepiederošie deputāti,2018,Deputāts - Latvijas Republikas Saeima,"Eiropas lietu komisija (no 20.11.2018); Aizsardzības, iekšlietu un korupcijas novēršanas komisija (Priekšsēdētājs, no 21.11.2018)",Holding | Commercial Companies,Sabiedrība ar Ierobežotu Atbildību,BF Advisory,41203041106,,,,Kapitāla daļas, €  1.00 ,Latvia,Carnikavas municipality,Vidzeme,"Profesionālie, zinātniskie un tehniskie pakalpojumi",
"Blumbergs, Aldis",Pilntiesīgs mandāts,Pie frakcijām nepiederošie deputāti,2019,Deputāts - Latvijas Republikas Saeima,"Eiropas lietu komisija (līdz 21.02.2019); Aizsardzības, iekšlietu un korupcijas novēršanas komisija (Priekšsēdētājs); Mandātu, ētikas un iesniegumu komisija (no 28.02.2019)",Holding | Commercial Companies,Sabiedrība ar Ierobežotu Atbildību,T.M.B. Projekts,40003655434,,,,Kapitāla daļas," € 2,840.00 ",Latvia,Babītes municipality ,Vidzeme,Operācijas ar nekustamo īpašumu,
"Blumbergs, Aldis",Pilntiesīgs mandāts,Pie frakcijām nepiederošie deputāti,2019,Deputāts - Latvijas Republikas Saeima,"Eiropas lietu komisija (līdz 21.02.2019); Aizsardzības, iekšlietu un korupcijas novēršanas komisija (Priekšsēdētājs); Mandātu, ētikas un iesniegumu komisija (no 28.02.2019)",Holding | Commercial Companies,Sabiedrība ar Ierobežotu Atbildību,BF Advisory,41203041106,,,,Kapitāla daļas, € 1.00 ,Latvia,Carnikavas municipality,Vidzeme,"Profesionālie, zinātniskie un tehniskie pakalpojumi",
"Blumbergs, Aldis",Pilntiesīgs mandāts,Pie frakcijām nepiederošie deputāti,2019,Deputāts - Latvijas Republikas Saeima,"Eiropas lietu komisija (līdz 21.02.2019); Aizsardzības, iekšlietu un korupcijas novēršanas komisija (Priekšsēdētājs); Mandātu, ētikas un iesniegumu komisija (no 28.02.2019)",Holding | Commercial Companies,Sabiedrība ar Ierobežotu Atbildību,Saulaines Industrijas,40003786882,,,,Kapitāla daļas, € 565.00 ,Latvia,Babītes municipality ,Vidzeme,Operācijas ar nekustamo īpašumu,
"Bondars, Mārtiņš",Pilntiesīgs mandāts,Attīstībai/Par!,2018,Deputāts - Latvijas Republikas Saeima,"Budžeta un finanšu (nodokļu) komisija (Priekšsēdētājs, no 20.11.2018); Publisko izdevumu un revīzijas komisija (no 20.11.2018)",Position | Private Sector,Sabiedriskā Organizācija,"""100999""",40008040209,Padomes loceklis,,,,,Latvia,Mārupes municipality,Vidzeme,"Pilsoniskā sabiedrība, profesionāļu apvienības, citi pakalpojumi",CSO - Social work
"Bondars, Mārtiņš",Pilntiesīgs mandāts,Attīstībai/Par!,2018,Deputāts - Latvijas Republikas Saeima,"Budžeta un finanšu (nodokļu) komisija (Priekšsēdētājs, no 20.11.2018); Publisko izdevumu un revīzijas komisija (no 20.11.2018)",Position | Private Sector,Biedrība,Ekonomistu apvienība 2010,40008008712,Valdes loceklis,,,,,Latvia,Rīgas municipality,Rīga/Pierīga,"Pilsoniskā sabiedrība, profesionāļu apvienības, citi pakalpojumi",Activities of professional membership organisations
"Bondars, Mārtiņš",Pilntiesīgs mandāts,Attīstībai/Par!,2018,Deputāts - Latvijas Republikas Saeima,"Budžeta un finanšu (nodokļu) komisija (Priekšsēdētājs, no 20.11.2018); Publisko izdevumu un revīzijas komisija (no 20.11.2018)",Position | Private Sector,Biedrība,Rucavas arborētuma draugu atbalsta biedrība,40008132912,Padomes loceklis,,,,,Latvia,Rucavas municipality,kurzeme,"Pilsoniskā sabiedrība, profesionāļu apvienības, citi pakalpojumi",CSO - Environment
"Bondars, Mārtiņš",Pilntiesīgs mandāts,Attīstībai/Par!,2018,Deputāts - Latvijas Republikas Saeima,"Budžeta un finanšu (nodokļu) komisija (Priekšsēdētājs, no 20.11.2018); Publisko izdevumu un revīzijas komisija (no 20.11.2018)",Holding | Commercial Companies,Sabiedrība ar Ierobežotu Atbildību,Harijs Bondars,50103084351,,,,Kapitāla daļas," €  1,195.00 ",Latvia,Mārupes municipality,Vidzeme,Finanšu un apdrošināšanas darbības,
