,Partija,Veids,Vērtība,Name,Datums,Flags,Legislature,Frakcija,Deputāts
31,LATVIJAS ZEMNIEKU SAVIENĪBA (Centriskā partija Latvijas Zemnieku savienība),Nauda,EUR 15.00,Daiga Mieriņa,02/03/2023,,14,Zaļo un Zemnieku savienības frakcija,Daiga Mieriņa
32,Mēs - Talsiem un novadam,Nauda,EUR 100.00,Jana Simanovska,02/03/2023,,14,Frakcija PROGRESĪVIE,Jana Simanovska
33,"VIENOTĪBA, Partija",Nauda,EUR 25.00,Irma Kalniņa,25/02/2023,,14,Frakcija JAUNĀ VIENOTĪBA,Irma Kalniņa
34,PROGRESĪVIE,Nauda,EUR 500.00,Leila Rasima,25/02/2023,,14,Frakcija PROGRESĪVIE,Leila Rasima
35,"Jaunā VIENOTĪBA (Nacionālās VIENOTĪBAS apvienība; Partijas Jaunais laiks, partijas Pilsoniskā savienība un partijas Sabiedrība Citai Politikai apvienība; VIENOTĪBA)",Nauda,EUR 60.00,Mārtiņš Daģis,11/02/2023,,14,Frakcija JAUNĀ VIENOTĪBA,Mārtiņš Daģis
36,"Jaunā VIENOTĪBA (Nacionālās VIENOTĪBAS apvienība; Partijas Jaunais laiks, partijas Pilsoniskā savienība un partijas Sabiedrība Citai Politikai apvienība; VIENOTĪBA)",Nauda,EUR 50.00,Zanda Kalniņa-Lukaševica,10/02/2023,,14,Frakcija JAUNĀ VIENOTĪBA,Zanda Kalniņa-Lukaševica
37,"Jaunā VIENOTĪBA (Nacionālās VIENOTĪBAS apvienība; Partijas Jaunais laiks, partijas Pilsoniskā savienība un partijas Sabiedrība Citai Politikai apvienība; VIENOTĪBA)",Nauda,EUR 40.00,Agita Zariņa-Stūre,09/02/2023,,14,Frakcija JAUNĀ VIENOTĪBA,Agita Zariņa-Stūre
38,"Jaunā VIENOTĪBA (Nacionālās VIENOTĪBAS apvienība; Partijas Jaunais laiks, partijas Pilsoniskā savienība un partijas Sabiedrība Citai Politikai apvienība; VIENOTĪBA)",Nauda,EUR 50.00,Ilze Vergina,07/02/2023,,14,Frakcija JAUNĀ VIENOTĪBA,Ilze Vergina
39,"Jaunā VIENOTĪBA (Nacionālās VIENOTĪBAS apvienība; Partijas Jaunais laiks, partijas Pilsoniskā savienība un partijas Sabiedrība Citai Politikai apvienība; VIENOTĪBA)",Nauda,EUR 60.00,Viktorija Baire,07/02/2023,,14,Frakcija JAUNĀ VIENOTĪBA,Viktorija Baire
40,"Jaunā VIENOTĪBA (Nacionālās VIENOTĪBAS apvienība; Partijas Jaunais laiks, partijas Pilsoniskā savienība un partijas Sabiedrība Citai Politikai apvienība; VIENOTĪBA)",Nauda,EUR 60.00,Jānis Patmalnieks,06/02/2023,,14,Frakcija JAUNĀ VIENOTĪBA,Jānis Patmalnieks
41,"Jaunā VIENOTĪBA (Nacionālās VIENOTĪBAS apvienība; Partijas Jaunais laiks, partijas Pilsoniskā savienība un partijas Sabiedrība Citai Politikai apvienība; VIENOTĪBA)",Nauda,EUR 30.00,Irma Kalniņa,06/02/2023,,14,Frakcija JAUNĀ VIENOTĪBA,Irma Kalniņa
42,"Kustība ""Par!""",Nauda,EUR 100.00,Mārtiņš Daģis,03/02/2023,,14,Frakcija JAUNĀ VIENOTĪBA,Mārtiņš Daģis
43,"Jaunā VIENOTĪBA (Nacionālās VIENOTĪBAS apvienība; Partijas Jaunais laiks, partijas Pilsoniskā savienība un partijas Sabiedrība Citai Politikai apvienība; VIENOTĪBA)",Nauda,EUR 60.00,Agnese Krasta,03/02/2023,,14,Frakcija JAUNĀ VIENOTĪBA,Agnese Krasta
44,"Jaunā VIENOTĪBA (Nacionālās VIENOTĪBAS apvienība; Partijas Jaunais laiks, partijas Pilsoniskā savienība un partijas Sabiedrība Citai Politikai apvienība; VIENOTĪBA)",Nauda,EUR 30.00,Atis Labucis,02/02/2023,,14,Frakcija JAUNĀ VIENOTĪBA,Atis Labucis
45,"Jaunā VIENOTĪBA (Nacionālās VIENOTĪBAS apvienība; Partijas Jaunais laiks, partijas Pilsoniskā savienība un partijas Sabiedrība Citai Politikai apvienība; VIENOTĪBA)",Nauda,EUR 30.00,Uģis Rotbergs,31/01/2023,,14,Frakcija JAUNĀ VIENOTĪBA,Uģis Rotbergs
46,"Jaunā VIENOTĪBA (Nacionālās VIENOTĪBAS apvienība; Partijas Jaunais laiks, partijas Pilsoniskā savienība un partijas Sabiedrība Citai Politikai apvienība; VIENOTĪBA)",Nauda,EUR 30.00,Anna Rancāne,31/01/2023,,14,Frakcija JAUNĀ VIENOTĪBA,Anna Rancāne
47,"Jaunā VIENOTĪBA (Nacionālās VIENOTĪBAS apvienība; Partijas Jaunais laiks, partijas Pilsoniskā savienība un partijas Sabiedrība Citai Politikai apvienība; VIENOTĪBA)",Nauda,EUR 30.00,Ingrīda Circene,30/01/2023,,14,Frakcija JAUNĀ VIENOTĪBA,Ingrīda Circene
48,"Jaunā VIENOTĪBA (Nacionālās VIENOTĪBAS apvienība; Partijas Jaunais laiks, partijas Pilsoniskā savienība un partijas Sabiedrība Citai Politikai apvienība; VIENOTĪBA)",Nauda,EUR 60.00,Edmunds Jurēvics,30/01/2023,,14,Frakcija JAUNĀ VIENOTĪBA,Edmunds Jurēvics
49,"Jaunā VIENOTĪBA (Nacionālās VIENOTĪBAS apvienība; Partijas Jaunais laiks, partijas Pilsoniskā savienība un partijas Sabiedrība Citai Politikai apvienība; VIENOTĪBA)",Nauda,EUR 40.00,Gatis Liepiņš,30/01/2023,,14,Frakcija JAUNĀ VIENOTĪBA,Gatis Liepiņš
50,"Jaunā VIENOTĪBA (Nacionālās VIENOTĪBAS apvienība; Partijas Jaunais laiks, partijas Pilsoniskā savienība un partijas Sabiedrība Citai Politikai apvienība; VIENOTĪBA)",Nauda,EUR 30.00,Ainars Latkovskis,30/01/2023,,14,Frakcija JAUNĀ VIENOTĪBA,Ainars Latkovskis
51,"Jaunā VIENOTĪBA (Nacionālās VIENOTĪBAS apvienība; Partijas Jaunais laiks, partijas Pilsoniskā savienība un partijas Sabiedrība Citai Politikai apvienība; VIENOTĪBA)",Nauda,EUR 50.00,Inga Bērziņa,30/01/2023,,14,Frakcija JAUNĀ VIENOTĪBA,Inga Bērziņa
52,"VIENOTĪBA, Partija",Nauda,EUR 25.00,Irma Kalniņa,25/01/2023,,14,Frakcija JAUNĀ VIENOTĪBA,Irma Kalniņa
53,PROGRESĪVIE,Nauda,EUR 300.00,Skaidrīte Ābrama,22/01/2023,,14,Frakcija PROGRESĪVIE,Skaidrīte Ābrama
54,PROGRESĪVIE,Nauda,EUR 1000.00,Jana Simanovska,11/01/2023,,14,Frakcija PROGRESĪVIE,Jana Simanovska
55,"Kustība ""Par!""",Nauda,EUR 200.00,Mārtiņš Daģis,10/01/2023,,14,Frakcija JAUNĀ VIENOTĪBA,Mārtiņš Daģis
56,PROGRESĪVIE,Nauda,EUR 2000.00,Kaspars Briškens,09/01/2023,,14,Frakcija PROGRESĪVIE,Kaspars Briškens
57,PROGRESĪVIE,Biedra nauda,EUR 500.00,Antoņina Ņenaševa,05/01/2023,,14,Frakcija PROGRESĪVIE,Antoņina Ņenaševa
58,PROGRESĪVIE,Nauda,EUR 1500.00,Antoņina Ņenaševa,05/01/2023,,14,Frakcija PROGRESĪVIE,Antoņina Ņenaševa
59,PROGRESĪVIE,Nauda,EUR 770.00,Edmunds Cepurītis,31/12/2022,above_yearly_limit,14,Frakcija PROGRESĪVIE,Edmunds Cepurītis
60,"VIENOTĪBA, Partija",Nauda,EUR 25.00,Irma Kalniņa,25/12/2022,,14,Frakcija JAUNĀ VIENOTĪBA,Irma Kalniņa
61,PROGRESĪVIE,Nauda,EUR 400.00,Antoņina Ņenaševa,22/12/2022,above_yearly_limit,14,Frakcija PROGRESĪVIE,Antoņina Ņenaševa
62,PROGRESĪVIE,Nauda,EUR 1000.00,Edmunds Cepurītis,21/12/2022,above_yearly_limit,14,Frakcija PROGRESĪVIE,Edmunds Cepurītis
63,"VIENOTĪBA, Partija",Nauda,EUR 100.00,Agita Zariņa-Stūre,21/12/2022,,14,Frakcija JAUNĀ VIENOTĪBA,Agita Zariņa-Stūre
64,PROGRESĪVIE,Nauda,EUR 500.00,Andris Šuvajevs,20/12/2022,,14,Frakcija PROGRESĪVIE,Andris Šuvajevs
65,"Stabilitātei!, Politiskā partija",Biedra nauda,EUR 150.00,Viktorija Pleškāne,09/12/2022,,14,Frakcija “Stabilitātei!”,Viktorija Pleškāne
66,"Stabilitātei!, Politiskā partija",Biedra nauda,EUR 50.00,Igors Judins,08/12/2022,,14,Frakcija “Stabilitātei!”,Igors Judins
67,"Kustība ""Par!""",Nauda,EUR 50.00,Mārtiņš Daģis,01/12/2022,,14,Frakcija JAUNĀ VIENOTĪBA,Mārtiņš Daģis
68,"Kustība ""Par!""",Nauda,EUR 200.00,Mārtiņš Daģis,01/12/2022,,14,Frakcija JAUNĀ VIENOTĪBA,Mārtiņš Daģis
69,PROGRESĪVIE,Nauda,EUR 1000.00,Leila Rasima,01/12/2022,,14,Frakcija PROGRESĪVIE,Leila Rasima
70,"VIENOTĪBA, Partija",Nauda,EUR 25.00,Irma Kalniņa,25/11/2022,,14,Frakcija JAUNĀ VIENOTĪBA,Irma Kalniņa
71,"Stabilitātei!, Politiskā partija",Biedra nauda,EUR 400.00,Igors Judins,22/11/2022,,14,Frakcija “Stabilitātei!”,Igors Judins
72,"Stabilitātei!, Politiskā partija",Biedra nauda,EUR 400.00,Viktorija Pleškāne,22/11/2022,,14,Frakcija “Stabilitātei!”,Viktorija Pleškāne
73,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda,EUR 250.00,Edmunds Teirumnieks,16/11/2022,,14,Frakcija “Nacionālā apvienība”,Edmunds Teirumnieks
74,PROGRESĪVIE,Nauda,EUR 1000.00,Jana Simanovska,15/11/2022,above_yearly_limit,14,Frakcija PROGRESĪVIE,Jana Simanovska
75,PROGRESĪVIE,Nauda,EUR 500.00,Skaidrīte Ābrama,12/11/2022,,14,Frakcija PROGRESĪVIE,Skaidrīte Ābrama
76,PROGRESĪVIE,Nauda,EUR 500.00,Andris Sprūds,06/11/2022,,14,Frakcija PROGRESĪVIE,Andris Sprūds
77,PROGRESĪVIE,Nauda,EUR 150.00,Leila Rasima,03/11/2022,,14,Frakcija PROGRESĪVIE,Leila Rasima
78,PROGRESĪVIE,Nauda,EUR 1000.00,Edmunds Cepurītis,02/11/2022,above_yearly_limit,14,Frakcija PROGRESĪVIE,Edmunds Cepurītis
79,"Jaunā VIENOTĪBA (Nacionālās VIENOTĪBAS apvienība; Partijas Jaunais laiks, partijas Pilsoniskā savienība un partijas Sabiedrība Citai Politikai apvienība; VIENOTĪBA)",Manta vai pakalpojums,EUR 127.48,Kārlis Šadurskis,31/10/2022,,13,Jaunā Vienotība,Kārlis Šadurskis
80,"Kustība ""Par!""",Biedra nauda,EUR 50.00,Vita Anda Tērauda,25/10/2022,,13,Attīstībai/Par!,Vita Anda Tērauda
81,"Kustība ""Par!""",Nauda,EUR 100.00,Mārtiņš Šteins,22/10/2022,,13,Attīstībai/Par!,Mārtiņš Šteins
82,Konservatīvie (Jaunā konservatīvā partija),Biedra nauda,EUR 200.00,Dagmāra Beitnere-Le Galla,16/10/2022,,13,Jauno Konservatīvo frakcija,Dagmāra Beitnere-Le Galla
83,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 65.00,Līva Kreituse,13/10/2022,,13,Jauno Konservatīvo frakcija,Līva Kreituse
84,Konservatīvie (Jaunā konservatīvā partija),Biedra nauda,EUR 100.00,Dagmāra Beitnere-Le Galla,07/10/2022,,13,Jauno Konservatīvo frakcija,Dagmāra Beitnere-Le Galla
85,SUVERĒNĀ VARA (Likums.Atbildība.Kārtība; Savienība Latgales sirds),Nauda,EUR 1000.00,Ļubova Švecova,07/10/2022,above_yearly_limit,13,Pie frakcijām nepiederošie deputāti,Ļubova Švecova
86,Konservatīvie (Jaunā konservatīvā partija),Biedra nauda,EUR 67.00,Ainars Bašķis,07/10/2022,,13,Jauno Konservatīvo frakcija,Ainars Bašķis
87,Apvienība Latvijai,Nauda,EUR 180.00,Māris Možvillo,07/10/2022,above_yearly_limit,13,Neatkarīgie,Māris Možvillo
88,Apvienība Latvijai,Nauda,EUR 10.00,Māris Možvillo,07/10/2022,above_yearly_limit,13,Neatkarīgie,Māris Možvillo
89,SUVERĒNĀ VARA (Likums.Atbildība.Kārtība; Savienība Latgales sirds),Nauda,EUR 1000.00,Ļubova Švecova,06/10/2022,above_yearly_limit,13,Pie frakcijām nepiederošie deputāti,Ļubova Švecova
90,Latvijas attīstībai,Nauda,EUR 20.00,Gatis Zamurs,04/10/2022,above_yearly_limit,13,Attīstībai/Par!,Gatis Zamurs
91,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 150.00,Evita Zālīte-Grosa,03/10/2022,,13,Jauno Konservatīvo frakcija,Evita Zālīte-Grosa
92,"VIENOTĪBA, Partija",Nauda,EUR 50.00,Iveta Benhena-Bēkena,01/10/2022,,13,Pie frakcijām nepiederošie deputāti,Iveta Benhena-Bēkena
93,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 65.00,Eva Mārtuža,27/09/2022,,13,Jauno Konservatīvo frakcija,Eva Mārtuža
94,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums,EUR 60.00,Rihards Kols,27/09/2022,,13,Nacionāla Apvienība VL-TB/LNNK,Rihards Kols
95,"Kustība ""Par!""",Nauda,EUR 150.00,Mārtiņš Šteins,26/09/2022,,13,Attīstībai/Par!,Mārtiņš Šteins
96,"Saskaņa, sociāldemokrātiskā partija",Nauda,EUR 300.00,Jānis Urbanovičs,26/09/2022,,13,Saskaņa,Jānis Urbanovičs
97,"Kustība ""Par!""",Biedra nauda,EUR 50.00,Vita Anda Tērauda,25/09/2022,,13,Attīstībai/Par!,Vita Anda Tērauda
98,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums,EUR 50.00,Rihards Kols,25/09/2022,,13,Nacionāla Apvienība VL-TB/LNNK,Rihards Kols
99,"Kustība ""Par!""",Nauda,EUR 30.00,Vita Anda Tērauda,24/09/2022,,13,Attīstībai/Par!,Vita Anda Tērauda
100,Attīstībai/Par!,Nauda,EUR 400.00,Viesturs Liepkalns,23/09/2022,,13,Attīstībai/Par!,Viesturs Liepkalns
101,"Saskaņa, sociāldemokrātiskā partija",Nauda,EUR 200.00,Vitālijs Orlovs,23/09/2022,,13,Saskaņa,Vitālijs Orlovs
102,Attīstībai/Par!,Nauda,EUR 555.39,Gatis Zamurs,23/09/2022,above_yearly_limit,13,Attīstībai/Par!,Gatis Zamurs
103,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums,EUR 50.00,Rihards Kols,23/09/2022,,13,Nacionāla Apvienība VL-TB/LNNK,Rihards Kols
104,LATVIJA PIRMAJĀ VIETĀ,Nauda,EUR 1000.00,Ralfs Nemiro,23/09/2022,above_yearly_limit,13,Neatkarīgie,Ralfs Nemiro
105,SUVERĒNĀ VARA (Likums.Atbildība.Kārtība; Savienība Latgales sirds),Manta vai pakalpojums,EUR 2.32,Jūlija Stepaņenko,23/09/2022,above_yearly_limit,13,Pie frakcijām nepiederošie deputāti,Jūlija Stepaņenko
106,Attīstībai/Par!,Nauda,EUR 100.00,Dace Rukšāne-Ščipčinska,23/09/2022,,13,Attīstībai/Par!,Dace Rukšāne-Ščipčinska
107,"Republika, Politiskā partija",Nauda,EUR 440.00,Kaspars Ģirģens,22/09/2022,,13,Pie frakcijām nepiederošie deputāti,Kaspars Ģirģens
108,"Kustība ""Par!""",Nauda,EUR 200.00,Mārtiņš Šteins,22/09/2022,,13,Attīstībai/Par!,Mārtiņš Šteins
109,"Saskaņa, sociāldemokrātiskā partija",Nauda,EUR 425.00,Vladimirs Nikonovs,22/09/2022,,13,Saskaņa,Vladimirs Nikonovs
110,Attīstībai/Par!,Nauda,EUR 30.25,Gatis Zamurs,22/09/2022,above_yearly_limit,13,Attīstībai/Par!,Gatis Zamurs
111,"Kustība ""Par!""",Nauda,EUR 30.00,Krista Baumane,22/09/2022,,13,Attīstībai/Par!,Krista Baumane
112,Attīstībai/Par!,Nauda,EUR 215.00,Andris Skride,22/09/2022,,13,Attīstībai/Par!,Andris Skride
113,Attīstībai/Par!,Nauda,EUR 900.00,Viesturs Liepkalns,21/09/2022,,13,Attīstībai/Par!,Viesturs Liepkalns
114,"Saskaņa, sociāldemokrātiskā partija",Nauda,EUR 1235.00,Ivans Klementjevs,21/09/2022,,13,Saskaņa,Ivans Klementjevs
115,"Saskaņa, sociāldemokrātiskā partija",Nauda,EUR 111.32,Nikolajs Kabanovs,21/09/2022,,13,Saskaņa,Nikolajs Kabanovs
116,"Saskaņa, sociāldemokrātiskā partija",Nauda,EUR -935.00,Ivans Klementjevs,21/09/2022,,13,Saskaņa,Ivans Klementjevs
117,Latvijas attīstībai,Nauda,EUR 25.00,Dace Rukšāne-Ščipčinska,21/09/2022,,13,Attīstībai/Par!,Dace Rukšāne-Ščipčinska
118,LATVIJA PIRMAJĀ VIETĀ,Nauda,EUR 303.00,Ramona Petraviča,21/09/2022,above_yearly_limit,13,Neatkarīgie,Ramona Petraviča
119,"VIENOTĪBA, Partija",Nauda,EUR 50.00,Iveta Benhena-Bēkena,21/09/2022,,13,Pie frakcijām nepiederošie deputāti,Iveta Benhena-Bēkena
120,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 25.00,Normunds Žunna,20/09/2022,,13,Jauno Konservatīvo frakcija,Normunds Žunna
121,Attīstībai/Par!,Nauda,EUR 500.00,Andris Skride,20/09/2022,,13,Attīstībai/Par!,Andris Skride
122,LATVIJA PIRMAJĀ VIETĀ,Nauda,EUR 8000.00,Ramona Petraviča,20/09/2022,above_yearly_limit,13,Neatkarīgie,Ramona Petraviča
123,"Republika, Politiskā partija",Nauda,EUR 80.00,Kaspars Ģirģens,20/09/2022,,13,Pie frakcijām nepiederošie deputāti,Kaspars Ģirģens
124,"Republika, Politiskā partija",Nauda,EUR 60.00,Kaspars Ģirģens,19/09/2022,,13,Pie frakcijām nepiederošie deputāti,Kaspars Ģirģens
125,Zaļo un Zemnieku savienība,Nauda,EUR 1000.00,Viktors Valainis,19/09/2022,,13,Zaļo un Zemnieku Savienība,Viktors Valainis
126,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 25.00,Jānis Cielēns,19/09/2022,,13,Jauno Konservatīvo frakcija,Jānis Cielēns
127,"Republika, Politiskā partija",Manta vai pakalpojums,EUR 180.00,Kaspars Ģirģens,18/09/2022,,13,Pie frakcijām nepiederošie deputāti,Kaspars Ģirģens
128,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums,EUR 50.00,Rihards Kols,18/09/2022,,13,Nacionāla Apvienība VL-TB/LNNK,Rihards Kols
129,Attīstībai/Par!,Nauda,EUR 30.25,Gatis Zamurs,17/09/2022,above_yearly_limit,13,Attīstībai/Par!,Gatis Zamurs
130,LATVIJA PIRMAJĀ VIETĀ,Nauda,EUR 100.00,Viktors Valainis,16/09/2022,,13,Zaļo un Zemnieku Savienība,Viktors Valainis
131,"Kustība ""Par!""",Nauda,EUR 100.00,Vita Anda Tērauda,15/09/2022,,13,Attīstībai/Par!,Vita Anda Tērauda
132,Attīstībai/Par!,Nauda,EUR 700.00,Viesturs Liepkalns,15/09/2022,,13,Attīstībai/Par!,Viesturs Liepkalns
133,"Kustība ""Par!""",Nauda,EUR 500.00,Inese Voika,15/09/2022,,13,Attīstībai/Par!,Inese Voika
134,"Kustība ""Par!""",Biedra nauda,EUR 460.00,Inese Voika,15/09/2022,,13,Attīstībai/Par!,Inese Voika
135,LATVIJA PIRMAJĀ VIETĀ,Nauda,EUR 3000.00,Ralfs Nemiro,14/09/2022,above_yearly_limit,13,Neatkarīgie,Ralfs Nemiro
136,Attīstībai/Par!,Nauda,EUR 50.00,Andris Skride,14/09/2022,,13,Attīstībai/Par!,Andris Skride
137,Zaļo un Zemnieku savienība,Nauda,EUR 1000.00,Romāns Naudiņš,14/09/2022,,13,Pie frakcijām nepiederošie deputāti,Romāns Naudiņš
138,Attīstībai/Par!,Nauda,EUR 28.31,Gatis Zamurs,14/09/2022,above_yearly_limit,13,Attīstībai/Par!,Gatis Zamurs
139,Attīstībai/Par!,Nauda,EUR 15.00,Dace Rukšāne-Ščipčinska,14/09/2022,,13,Attīstībai/Par!,Dace Rukšāne-Ščipčinska
140,Attīstībai/Par!,Nauda,EUR 23.81,Dace Rukšāne-Ščipčinska,14/09/2022,,13,Attīstībai/Par!,Dace Rukšāne-Ščipčinska
141,Zaļo un Zemnieku savienība,Nauda,EUR 341.00,Jānis Vucāns,13/09/2022,,13,Zaļo un Zemnieku Savienība,Jānis Vucāns
142,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda,EUR 1000.00,Edmunds Teirumnieks,13/09/2022,,13,Nacionāla Apvienība VL-TB/LNNK,Edmunds Teirumnieks
143,Zaļo un Zemnieku savienība,Nauda,EUR 345.00,Uldis Augulis,13/09/2022,,13,Zaļo un Zemnieku Savienība,Uldis Augulis
144,"Saskaņa, sociāldemokrātiskā partija",Nauda,EUR 104.00,Artūrs Rubiks,13/09/2022,,13,Saskaņa,Artūrs Rubiks
145,Konservatīvie (Jaunā konservatīvā partija),Nauda,EUR 200.00,Normunds Žunna,13/09/2022,,13,Jauno Konservatīvo frakcija,Normunds Žunna
146,Attīstībai/Par!,Nauda,EUR 30.25,Gatis Zamurs,13/09/2022,above_yearly_limit,13,Attīstībai/Par!,Gatis Zamurs
