Partija,Veids,Vērtība,Deputāts,Frakcija,Datums
Jaunā konservatīvā partija,Nauda, €  200.00 ,"Beitnere-Le Galla, Dagmāra",JKP,3/9/2018
Jaunā konservatīvā partija,Biedra nauda, €  320.00 ,"Beitnere-Le Galla, Dagmāra",JKP,10/3/2019
Jaunā konservatīvā partija,Biedra nauda, €  250.00 ,"Beitnere-Le Galla, Dagmāra",JKP,3/2/2019
Jaunā konservatīvā partija,Biedra nauda, €  250.00 ,"Beitnere-Le Galla, Dagmāra",JKP,8/1/2019
"KPV LV, Politiskā partija",Nauda, €  130.00 ,"Benhena-Bēkena, Iveta",KPV LV,27/11/2019
"KPV LV, Politiskā partija",Nauda, €  20.00 ,"Benhena-Bēkena, Iveta",KPV LV,15/12/2018
"KPV LV, Politiskā partija",Nauda, €  100.00 ,"Benhena-Bēkena, Iveta",KPV LV,12/9/2019
"KPV LV, Politiskā partija",Nauda, €  30.00 ,"Benhena-Bēkena, Iveta",KPV LV,11/12/2019
"KPV LV, Politiskā partija",Nauda, €  100.00 ,"Benhena-Bēkena, Iveta",KPV LV,10/11/2018
"KPV LV, Politiskā partija",Nauda, €  500.00 ,"Benhena-Bēkena, Iveta",KPV LV,6/9/2018
"KPV LV, Politiskā partija",Nauda, €  100.00 ,"Benhena-Bēkena, Iveta",KPV LV,1/7/2019
"KPV LV, Politiskā partija",Biedra nauda," €  1,000.00 ","Benhena-Bēkena, Iveta",KPV LV,6/8/2018
Zaļo un Zemnieku savienība,Nauda, €  14.00 ,"Bergmanis, Raimonds",Zaļo un Zemnieku Savienība,30/7/2019
Zaļo un Zemnieku savienība,Nauda," €  1,200.00 ","Bergmanis, Raimonds",Zaļo un Zemnieku Savienība,15/5/2019
Zaļo un Zemnieku savienība,Nauda," €  3,000.00 ","Bergmanis, Raimonds",Zaļo un Zemnieku Savienība,3/6/2018
Zaļo un Zemnieku savienība,Nauda," €  2,000.00 ","Bergmanis, Raimonds",Zaļo un Zemnieku Savienība,2/11/2018
"KPV LV, Politiskā partija",Manta vai pakalpojums, €  278.30 ,"Blumbergs, Aldis",Pie frakcijām nepiederošie deputāti,31/10/2018
"KPV LV, Politiskā partija",Manta vai pakalpojums, €  19.54 ,"Blumbergs, Aldis",Pie frakcijām nepiederošie deputāti,31/8/2018
"KPV LV, Politiskā partija",Nauda, €  485.00 ,"Blumbergs, Aldis",Pie frakcijām nepiederošie deputāti,20/9/2018
"KPV LV, Politiskā partija",Nauda, €  250.00 ,"Blumbergs, Aldis",Pie frakcijām nepiederošie deputāti,14/9/2018
"KPV LV, Politiskā partija",Nauda, €  20.00 ,"Blumbergs, Aldis",Pie frakcijām nepiederošie deputāti,11/12/2018
"KPV LV, Politiskā partija",Nauda, €  50.00 ,"Blumbergs, Aldis",Pie frakcijām nepiederošie deputāti,10/8/2018
"KPV LV, Politiskā partija",Manta vai pakalpojums, €  303.37 ,"Blumbergs, Aldis",Pie frakcijām nepiederošie deputāti,3/10/2018
Jaunā konservatīvā partija,Nauda, €  300.00 ,"Budriķis, Uldis",JKP,23/9/2019
Jaunā konservatīvā partija,Nauda, €  160.00 ,"Budriķis, Uldis",JKP,23/1/2019
Jaunā konservatīvā partija,Nauda, €  20.00 ,"Budriķis, Uldis",JKP,23/1/2019
Jaunā konservatīvā partija,Nauda, €  200.00 ,"Budriķis, Uldis",JKP,21/12/2018
Jaunā konservatīvā partija,Nauda, €  175.00 ,"Budriķis, Uldis",JKP,21/2/2019
Jaunā konservatīvā partija,Nauda, €  100.00 ,"Budriķis, Uldis",JKP,17/6/2019
Jaunā konservatīvā partija,Nauda, €  124.00 ,"Budriķis, Uldis",JKP,8/11/2019
Jaunā konservatīvā partija,Nauda, €  100.00 ,"Budriķis, Uldis",JKP,8/7/2019
Jaunā konservatīvā partija,Nauda, €  200.00 ,"Budriķis, Uldis",JKP,8/5/2019
Jaunā konservatīvā partija,Nauda, €  100.00 ,"Budriķis, Uldis",JKP,8/4/2019
Jaunā konservatīvā partija,Nauda, €  330.00 ,"Budriķis, Uldis",JKP,7/8/2019
Jaunā konservatīvā partija,Nauda, €  20.00 ,"Budriķis, Uldis",JKP,7/7/2018
Jaunā konservatīvā partija,Nauda, €  100.00 ,"Budriķis, Uldis",JKP,3/4/2019
Jaunā konservatīvā partija,Nauda, €  40.00 ,"Butāns, Jānis",JKP,29/8/2018
Jaunā konservatīvā partija,Nauda, €  350.00 ,"Butāns, Jānis",JKP,28/8/2018
Jaunā konservatīvā partija,Nauda, €  150.00 ,"Butāns, Jānis",JKP,25/9/2018
Jaunā konservatīvā partija,Nauda, €  120.00 ,"Butāns, Jānis",JKP,20/9/2018
Jaunā konservatīvā partija,Nauda, €  25.00 ,"Butāns, Jānis",JKP,20/8/2018
Jaunā konservatīvā partija,Nauda, €  230.00 ,"Butāns, Jānis",JKP,19/11/2019
Jaunā konservatīvā partija,Nauda, €  10.00 ,"Butāns, Jānis",JKP,18/12/2018
Jaunā konservatīvā partija,Nauda, €  115.00 ,"Butāns, Jānis",JKP,15/8/2019
Jaunā konservatīvā partija,Nauda, €  230.00 ,"Butāns, Jānis",JKP,15/4/2019
Jaunā konservatīvā partija,Nauda, €  10.00 ,"Butāns, Jānis",JKP,15/1/2019
Jaunā konservatīvā partija,Nauda, €  230.00 ,"Butāns, Jānis",JKP,13/9/2019
Jaunā konservatīvā partija,Nauda, €  25.00 ,"Butāns, Jānis",JKP,13/9/2018
Jaunā konservatīvā partija,Nauda, €  20.00 ,"Butāns, Jānis",JKP,12/2/2019
Jaunā konservatīvā partija,Nauda, €  25.00 ,"Butāns, Jānis",JKP,11/10/2018
Jaunā konservatīvā partija,Nauda, €  230.00 ,"Butāns, Jānis",JKP,10/10/2019
Jaunā konservatīvā partija,Nauda, €  50.00 ,"Butāns, Jānis",JKP,10/9/2018
Jaunā konservatīvā partija,Nauda, €  230.00 ,"Butāns, Jānis",JKP,9/7/2019
Jaunā konservatīvā partija,Nauda, €  25.00 ,"Butāns, Jānis",JKP,8/8/2018
Jaunā konservatīvā partija,Nauda, €  230.00 ,"Butāns, Jānis",JKP,7/6/2019
Jaunā konservatīvā partija,Nauda, €  20.00 ,"Butāns, Jānis",JKP,7/6/2018
Jaunā konservatīvā partija,Nauda, €  15.00 ,"Butāns, Jānis",JKP,7/6/2018
Jaunā konservatīvā partija,Nauda, €  230.00 ,"Butāns, Jānis",JKP,6/8/2019
Jaunā konservatīvā partija,Nauda, €  230.00 ,"Butāns, Jānis",JKP,6/5/2019
Jaunā konservatīvā partija,Nauda, €  30.00 ,"Butāns, Jānis",JKP,4/6/2019
Jaunā konservatīvā partija,Nauda, €  225.00 ,"Butāns, Jānis",JKP,4/3/2019
Jaunā konservatīvā partija,Nauda, €  25.00 ,"Butāns, Jānis",JKP,2/11/2018
Jaunā konservatīvā partija,Nauda, €  35.00 ,"Butāns, Jānis",JKP,2/8/2018
Jaunā konservatīvā partija,Nauda, €  50.00 ,"Butāns, Jānis",JKP,1/10/2018
Zaļo un Zemnieku savienība,Nauda," €  5,000.00 ","Čakša, Anda",Pie frakcijām nepiederošie deputāti,19/6/2018
Zaļo un Zemnieku savienība,Manta vai pakalpojums, €  565.53 ,"Čakša, Anda",Pie frakcijām nepiederošie deputāti,5/10/2018
Jaunā konservatīvā partija,Nauda, €  230.00 ,"Cielēns, Jānis",JKP,31/10/2019
Jaunā konservatīvā partija,Nauda, €  230.00 ,"Cielēns, Jānis",JKP,30/9/2019
Jaunā konservatīvā partija,Nauda, €  85.00 ,"Cielēns, Jānis",JKP,30/7/2019
Jaunā konservatīvā partija,Nauda, €  100.00 ,"Cielēns, Jānis",JKP,25/7/2018
Jaunā konservatīvā partija,Nauda, €  45.00 ,"Cielēns, Jānis",JKP,25/6/2019
Jaunā konservatīvā partija,Nauda, €  100.00 ,"Cielēns, Jānis",JKP,19/9/2018
Jaunā konservatīvā partija,Nauda, €  150.00 ,"Cielēns, Jānis",JKP,18/9/2018
Jaunā konservatīvā partija,Nauda, €  230.00 ,"Cielēns, Jānis",JKP,16/12/2019
Jaunā konservatīvā partija,Nauda, €  90.00 ,"Cielēns, Jānis",JKP,16/12/2019
Jaunā konservatīvā partija,Nauda, €  30.00 ,"Cielēns, Jānis",JKP,16/5/2018
Jaunā konservatīvā partija,Nauda, €  60.00 ,"Cielēns, Jānis",JKP,13/9/2018
Jaunā konservatīvā partija,Nauda, €  10.00 ,"Cielēns, Jānis",JKP,13/7/2018
Jaunā konservatīvā partija,Nauda, €  25.00 ,"Cielēns, Jānis",JKP,10/8/2018
Jaunā konservatīvā partija,Nauda, €  200.00 ,"Cielēns, Jānis",JKP,8/7/2019
Jaunā konservatīvā partija,Nauda, €  200.00 ,"Cielēns, Jānis",JKP,8/5/2019
Jaunā konservatīvā partija,Nauda, €  200.00 ,"Cielēns, Jānis",JKP,8/4/2019
Jaunā konservatīvā partija,Nauda, €  220.00 ,"Cielēns, Jānis",JKP,7/8/2019
Jaunā konservatīvā partija,Nauda, €  200.00 ,"Cielēns, Jānis",JKP,6/6/2019
Jaunā konservatīvā partija,Nauda, €  230.00 ,"Cielēns, Jānis",JKP,6/3/2019
Jaunā konservatīvā partija,Nauda, €  100.00 ,"Cielēns, Jānis",JKP,5/12/2018
Jaunā konservatīvā partija,Nauda, €  15.00 ,"Cielēns, Jānis",JKP,4/6/2018
Jaunā konservatīvā partija,Nauda, €  50.00 ,"Cielēns, Jānis",JKP,2/5/2019
"Saskaņa, sociāldemokrātiskā partija",Nauda, €  200.00 ,"Cilevičs, Boriss",Saskaņa,21/8/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda," €  1,000.00 ","Cilevičs, Boriss",Saskaņa,16/3/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda," €  1,000.00 ","Cilevičs, Boriss",Saskaņa,7/2/2019
"Saskaņa, sociāldemokrātiskā partija",Nauda," €  1,000.00 ","Cilevičs, Boriss",Saskaņa,1/4/2018
Zaļo un Zemnieku savienība,Nauda, €  700.00 ,"Daudze, Gundars",Zaļo un Zemnieku Savienība,25/9/2018
Zaļo un Zemnieku savienība,Nauda," €  1,500.00 ","Daudze, Gundars",Zaļo un Zemnieku Savienība,18/7/2018
Zaļo un Zemnieku savienība,Nauda," €  1,500.00 ","Daudze, Gundars",Zaļo un Zemnieku Savienība,17/7/2018
Zaļo un Zemnieku savienība,Nauda," €  1,000.00 ","Daudze, Gundars",Zaļo un Zemnieku Savienība,8/9/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda," €  2,000.00 ","Dolgopolovs, Sergejs",Saskaņa,17/3/2019
"Saskaņa, sociāldemokrātiskā partija",Nauda," €  3,000.00 ","Dolgopolovs, Sergejs",Saskaņa,14/3/2019
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  20.00 ,"Dombrava, Jānis",Nacionālā Apvienība - TB/LNNK,26/2/2019
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  10.00 ,"Dombrava, Jānis",Nacionālā Apvienība - TB/LNNK,24/2/2019
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  16.00 ,"Dombrava, Jānis",Nacionālā Apvienība - TB/LNNK,22/9/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  8.00 ,"Dombrava, Jānis",Nacionālā Apvienība - TB/LNNK,22/3/2019
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  5.00 ,"Dombrava, Jānis",Nacionālā Apvienība - TB/LNNK,21/9/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  15.00 ,"Dombrava, Jānis",Nacionālā Apvienība - TB/LNNK,21/2/2019
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  5.00 ,"Dombrava, Jānis",Nacionālā Apvienība - TB/LNNK,12/9/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  14.00 ,"Dombrava, Jānis",Nacionālā Apvienība - TB/LNNK,11/5/2019
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  14.00 ,"Dombrava, Jānis",Nacionālā Apvienība - TB/LNNK,10/9/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  14.00 ,"Dombrava, Jānis",Nacionālā Apvienība - TB/LNNK,10/5/2019
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda," €  1,000.00 ","Dombrava, Jānis",Nacionālā Apvienība - TB/LNNK,10/5/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  5.00 ,"Dombrava, Jānis",Nacionālā Apvienība - TB/LNNK,10/4/2019
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda," €  1,500.00 ","Dombrava, Jānis",Nacionālā Apvienība - TB/LNNK,7/9/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  5.00 ,"Dombrava, Jānis",Nacionālā Apvienība - TB/LNNK,6/3/2019
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  5.18 ,"Dombrava, Jānis",Nacionālā Apvienība - TB/LNNK,6/2/2019
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  5.18 ,"Dombrava, Jānis",Nacionālā Apvienība - TB/LNNK,6/2/2019
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  14.00 ,"Dombrava, Jānis",Nacionālā Apvienība - TB/LNNK,3/4/2019
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  50.00 ,"Dombrava, Jānis",Nacionālā Apvienība - TB/LNNK,2/10/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda, €  200.00 ,"Dombrovskis, Vjačeslavs",Pie frakcijām nepiederošie deputāti,27/2/2019
"Saskaņa, sociāldemokrātiskā partija",Nauda," €  1,500.00 ","Dombrovskis, Vjačeslavs",Pie frakcijām nepiederošie deputāti,6/8/2018
Zaļo un Zemnieku savienība,Nauda, €  500.00 ,"Dūklavs, Jānis",Zaļo un Zemnieku Savienība,29/10/2018
Zaļo un Zemnieku savienība,Nauda, €  500.00 ,"Dūklavs, Jānis",Zaļo un Zemnieku Savienība,12/12/2019
Zaļo un Zemnieku savienība,Nauda," €  3,000.00 ","Dūklavs, Jānis",Zaļo un Zemnieku Savienība,8/2/2018
Zaļo un Zemnieku savienība,Nauda, €  100.00 ,"Dūklavs, Jānis",Zaļo un Zemnieku Savienība,5/3/2019
Zaļo un Zemnieku savienība,Nauda," €  3,000.00 ","Dūklavs, Jānis",Zaļo un Zemnieku Savienība,4/9/2018
Attīstībai/Par!,Nauda, €  20.00 ,"Dūrītis, Ilmārs",Attīstībai/Par!,28/9/2018
Kustība Par!,Nauda, €  20.00 ,"Dūrītis, Ilmārs",Attīstībai/Par!,24/3/2018
Kustība Par!,Nauda, €  50.00 ,"Dūrītis, Ilmārs",Attīstībai/Par!,24/2/2019
Kustība Par!,Nauda, €  10.00 ,"Dūrītis, Ilmārs",Attīstībai/Par!,23/11/2018
Kustība Par!,Nauda, €  100.00 ,"Dūrītis, Ilmārs",Attīstībai/Par!,15/10/2019
Attīstībai/Par!,Nauda, €  20.00 ,"Dūrītis, Ilmārs",Attīstībai/Par!,3/10/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda," €  1,000.00 ","Dzintars, Raivis",Nacionālā Apvienība - TB/LNNK,28/1/2019
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  74.00 ,"Dzintars, Raivis",Nacionālā Apvienība - TB/LNNK,26/7/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  85.00 ,"Dzintars, Raivis",Nacionālā Apvienība - TB/LNNK,22/9/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  64.00 ,"Dzintars, Raivis",Nacionālā Apvienība - TB/LNNK,21/9/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  64.00 ,"Dzintars, Raivis",Nacionālā Apvienība - TB/LNNK,21/9/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  86.00 ,"Dzintars, Raivis",Nacionālā Apvienība - TB/LNNK,20/7/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  34.00 ,"Dzintars, Raivis",Nacionālā Apvienība - TB/LNNK,19/9/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  67.00 ,"Dzintars, Raivis",Nacionālā Apvienība - TB/LNNK,16/8/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  86.00 ,"Dzintars, Raivis",Nacionālā Apvienība - TB/LNNK,16/7/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  100.00 ,"Dzintars, Raivis",Nacionālā Apvienība - TB/LNNK,16/3/2019
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda," €  2,500.00 ","Dzintars, Raivis",Nacionālā Apvienība - TB/LNNK,14/1/2019
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda," €  2,000.00 ","Dzintars, Raivis",Nacionālā Apvienība - TB/LNNK,12/9/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  44.00 ,"Dzintars, Raivis",Nacionālā Apvienība - TB/LNNK,12/8/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  50.00 ,"Dzintars, Raivis",Nacionālā Apvienība - TB/LNNK,11/4/2019
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  65.00 ,"Dzintars, Raivis",Nacionālā Apvienība - TB/LNNK,10/8/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  100.00 ,"Dzintars, Raivis",Nacionālā Apvienība - TB/LNNK,9/5/2019
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  50.00 ,"Dzintars, Raivis",Nacionālā Apvienība - TB/LNNK,9/4/2019
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  50.00 ,"Dzintars, Raivis",Nacionālā Apvienība - TB/LNNK,8/4/2019
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  35.00 ,"Dzintars, Raivis",Nacionālā Apvienība - TB/LNNK,8/3/2019
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  87.00 ,"Dzintars, Raivis",Nacionālā Apvienība - TB/LNNK,6/9/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  87.00 ,"Dzintars, Raivis",Nacionālā Apvienība - TB/LNNK,6/8/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  50.00 ,"Dzintars, Raivis",Nacionālā Apvienība - TB/LNNK,6/3/2019
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  170.00 ,"Dzintars, Raivis",Nacionālā Apvienība - TB/LNNK,4/10/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  50.00 ,"Dzintars, Raivis",Nacionālā Apvienība - TB/LNNK,4/4/2019
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  74.00 ,"Dzintars, Raivis",Nacionālā Apvienība - TB/LNNK,1/10/2018
Jaunā konservatīvā partija,Nauda,-€  189.41 ,"Eglītis, Gatis",JKP,27/9/2019
Jaunā konservatīvā partija,Nauda, €  25.00 ,"Eglītis, Gatis",JKP,27/5/2019
Jaunā konservatīvā partija,Nauda, €  250.00 ,"Eglītis, Gatis",JKP,25/3/2019
Jaunā konservatīvā partija,Nauda, €  250.00 ,"Eglītis, Gatis",JKP,25/2/2019
Jaunā konservatīvā partija,Nauda, €  50.00 ,"Eglītis, Gatis",JKP,24/12/2018
Jaunā konservatīvā partija,Nauda, €  175.00 ,"Eglītis, Gatis",JKP,23/7/2018
Jaunā konservatīvā partija,Nauda," €  1,000.00 ","Eglītis, Gatis",JKP,23/2/2018
Jaunā konservatīvā partija,Nauda, €  150.00 ,"Eglītis, Gatis",JKP,16/7/2019
Jaunā konservatīvā partija,Nauda, €  75.00 ,"Eglītis, Gatis",JKP,16/7/2018
Jaunā konservatīvā partija,Nauda, €  25.00 ,"Eglītis, Gatis",JKP,15/1/2018
Jaunā konservatīvā partija,Nauda, €  180.00 ,"Eglītis, Gatis",JKP,13/12/2018
Jaunā konservatīvā partija,Nauda," €  1,000.00 ","Eglītis, Gatis",JKP,13/9/2018
Jaunā konservatīvā partija,Nauda, €  45.00 ,"Eglītis, Gatis",JKP,12/12/2019
Jaunā konservatīvā partija,Manta vai pakalpojums, €  702.67 ,"Eglītis, Gatis",JKP,12/9/2018
Jaunā konservatīvā partija,Nauda, €  35.00 ,"Eglītis, Gatis",JKP,10/6/2019
Jaunā konservatīvā partija,Nauda, €  500.00 ,"Eglītis, Gatis",JKP,10/5/2019
Jaunā konservatīvā partija,Nauda, €  250.00 ,"Eglītis, Gatis",JKP,8/4/2019
